Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	-1.2008193	2.15249	1.6216372	-4.4220176	10.0	13.046072	40.0	0.0	400.0	2503.0	0.041716666666666666	-0.53046364	0.5094947	1.2807636	-2.2822251	1.8086503	2.097063	7.911453	-0.86323	6.7279045e-09	-0.003662632	1.2755394e-08	-0.00547362	0.3780437	-0.2198629	8.116095	-2.9137263	1.4227562	0.025058866	2.0	1.8431549	0.010121366	60000	372.40692925453186
15	-2.2673156	2.007502	0.6940413	-6.7472878	9.0	6.7675695	19.0	0.0	400.0	2593.0	0.040515625	-0.4777206	0.42750877	1.1214999	-2.105354	1.5762984	2.941807	9.459178	-1.3298498	-7.3908883e-09	-0.0023871204	-3.3974648e-09	-0.0062187877	0.3484661	-0.14338233	5.856196	-2.1503162	1.4478151	0.024864435	4.0	1.8433149	0.0045209504	64000	397.5951452255249
16	-0.5634889	1.4071794	2.5582817	-2.7341912	5.6	4.7370877	14.0	0.0	400.0	2649.0	0.038955882352941174	-0.34049326	0.42616305	0.8753306	-1.9402412	0.8291267	1.7422634	10.152846	-0.770721	-1.770818e-08	-0.010703855	-2.2649765e-08	-0.018877897	0.3130469	-0.14313108	3.1596026	-1.0898967	1.4726795	0.024244308	18.0	1.8441417	0.011324451	68000	422.15874338150024
17	-2.6443467	2.0422432	1.02993	-6.0592856	8.0	9.077445	26.0	0.0	400.0	2729.0	0.03790277777777778	-0.16037168	0.36812216	0.93548256	-1.4151155	0.67072827	1.3823333	5.8273654	-0.27705997	1.6075484e-08	-0.013341051	3.051758e-08	-0.022893824	0.5751811	-0.42022806	5.2530494	-1.9117157	1.4969238	0.024291515	29.0	1.8434181	0.011993765	72000	448.0411992073059
18	-1.276695	1.8866111	1.8123729	-3.9179053	2.8	6.0299253	19.0	0.0	400.0	2757.0	0.036276315789473684	-0.56965715	0.5081362	1.4372348	-1.9747804	1.0024234	1.9257199	10.195379	-1.0344878	-1.5435335e-08	-0.0027062583	-3.6239623e-08	-0.0032883543	0.34406805	-0.17726354	5.7671723	-3.0621743	1.5212153	0.022108316	2.0	1.8438835	0.0032075858	76000	473.1500608921051
19	-1.9506719	1.4847975	0.65535617	-4.119579	11.0	12.585706	34.0	0.0	400.0	2867.0	0.0358375	-0.397226	0.38661343	1.0994445	-1.5648158	0.4143986	0.9372228	8.200351	-0.9435107	2.759397e-08	0.00013721519	5.1498414e-08	-0.028760599	0.18510093	-0.072942294	17.555792	-12.419803	1.5433236	0.02271521	1.0	1.8444761	0.071704626	80000	498.4613983631134
20	-1.431226	1.4218135	0.87961346	-3.8645906	8.2	13.526271	42.0	0.0	400.0	2949.0	0.03510714285714286	-0.38378304	0.3914585	1.3918346	-1.4341497	2.5895343	3.9964325	15.0597	-0.22408994	-3.011525e-08	-0.002063013	-3.5643577e-08	-0.0154048605	0.17198782	-0.06957705	18.214508	-10.701439	1.5660388	0.022683263	1.0	1.8448849	0.024089726	84000	523.0544145107269
21	-1.5162609	1.9631999	2.367343	-3.905974	11.0	24.88373	81.0	0.0	400.0	3059.0	0.03476136363636364	-0.25002494	0.34357205	0.8875176	-1.1545606	0.9720965	2.473711	14.040949	-0.33005828	-1.0382427e-08	-0.0039564725	-2.682209e-08	-0.0059031122	0.2615623	-0.122981355	28.206913	-21.754055	1.5887221	0.023394704	2.0	1.8452399	0.003659441	88000	548.7156047821045
22	-2.151559	1.9087816	2.517204	-4.6820426	0.5	1.5	5.0	0.0	400.0	3064.0	0.033304347826086954	-0.51868105	0.30047986	1.1483598	-1.313833	0.86068743	3.3413246	23.638325	-4.402034	-2.4469846e-09	-0.025555009	5.722046e-09	-0.04630345	0.28121668	-0.12934509	11.934217	-11.761002	1.6121168	0.021878242	13.0	1.845442	0.014654269	92000	573.7758855819702
23	-2.6576226	1.3549292	-0.42275447	-5.0079927	2.0	4.0249224	11.0	0.0	400.0	3084.0	0.032125	-0.50032955	0.42326438	1.565901	-1.7984645	0.046315353	0.071023904	0.70303047	-0.83910227	-6.246661e-09	-0.008392686	-7.972122e-09	-0.010683031	0.15060414	-0.05452721	1.7851155	-0.51634085	1.633995	0.020690799	21.0	1.8351605	0.011115589	96000	597.7919490337372
24	-3.0587842	1.584339	-1.0445539	-6.3054304	0.2	0.59999996	2.0	0.0	400.0	3086.0	0.03086	-0.5529099	0.35342824	0.63122123	-1.6606028	0.279139	0.56356496	3.2468731	-0.12715864	-1.4277436e-09	-0.0068516713	4.5895576e-09	-0.002103874	0.21283743	-0.08319697	0.35872403	-0.33471927	1.6546859	0.0138783455	79.0	1.8290291	0.010258014	100000	623.7246055603027
25	-0.062131643	2.31691	4.5514154	-2.8649623	4.8	9.599999	24.0	0.0	400.0	3134.0	0.030134615384615385	-0.623918	0.4588851	0.7591735	-1.9158251	-0.0059060594	0.06872368	0.6683239	-0.7137884	2.2994058e-09	-0.0015610213	1.4036893e-08	-0.0024721562	0.75655097	-0.6138791	10.892213	-3.2889552	1.6685642	0.017130971	2.0	1.8318975	0.00021215595	104000	647.9297311306
26	-0.0033579827	2.9774199	4.5095577	-3.6622043	3.6	6.452906	20.0	0.0	400.0	3170.0	0.02935185185185185	-0.17533413	0.6013866	2.3407729	-1.7472929	1.0543835	1.3099473	5.9783387	-0.33570984	-7.76564e-09	-0.0025116869	-1.9550324e-08	-0.010722542	0.35724533	-0.15113561	3.5732903	-0.99536633	1.6856952	0.01653552	1.0	1.8320388	0.015013868	108000	672.7343988418579
27	0.24527736	2.146062	4.9862623	-2.9540708	11.0	17.93321	60.0	0.0	400.0	3280.0	0.029285714285714286	-0.16494645	0.6743379	2.320831	-1.6948216	0.8662293	1.6140883	7.5720654	-1.9194202	-7.797386e-10	-0.0040313723	6.6757204e-09	-0.009981047	0.30707112	-0.18251388	24.664274	-11.481946	1.7022307	0.018042445	1.0	1.832113	0.012209801	112000	696.3212509155273
28	-0.07881045	2.584701	3.9579873	-4.6176744	5.8	11.443776	38.0	0.0	400.0	3338.0	0.028775862068965517	0.08474063	0.44861802	1.8280847	-0.88427126	1.3735855	2.4514866	13.093242	-8.322386	1.1589314e-08	-0.0014785837	2.6226044e-08	-0.09206566	0.36474738	-0.17994803	11.886332	-7.0836744	1.7202731	0.01802075	1.0	1.8321111	0.37021652	116000	719.9612138271332
29	0.5285398	2.3043792	3.8780732	-3.3751082	11.5	15.34438	43.0	0.0	400.0	3453.0	0.028775	0.035053674	0.75178444	2.8180065	-1.8913845	1.7930163	2.392895	15.262075	-2.5396106	-1.9130088e-08	0.011226025	-1.34706495e-08	-0.037912205	0.41526526	-0.3021195	30.322191	-18.964748	1.7382939	0.01967132	1.0	1.8322649	0.18078576	120000	743.4498064517975
30	1.3851119	2.799863	5.972892	-3.400623	14.3	13.871193	40.0	0.0	400.0	3596.0	0.029	-0.022966607	0.593892	1.8152401	-1.550713	3.957896	4.208883	19.221104	-4.5975323	-1.6366924e-08	-0.0034135156	-2.4795533e-08	-0.026659342	0.5392008	-0.44048262	30.844637	-28.049093	1.7579652	0.021914601	1.0	1.8321905	0.04645081	124000	767.057165145874
31	-1.463449	1.8093952	1.9152648	-3.644317	1.8	3.6276715	10.0	0.0	400.0	3614.0	0.028234375	-0.004981058	0.6398041	3.02912	-1.4492103	2.0148804	3.5265436	17.114256	-4.6209273	1.0695651e-08	-0.0011948522	4.6491624e-09	-0.014064071	0.34442443	-0.27751517	12.5917635	-12.192167	1.7798798	0.020337343	1.0	1.8318317	0.02835803	128000	790.6025838851929
32	1.7940044	3.8272004	6.704077	-3.549685	15.2	16.30828	42.0	0.0	400.0	3766.0	0.02853030303030303	-0.04708828	0.59028417	2.2632449	-1.4458562	0.7497367	1.393387	6.264938	-3.1642506	4.619279e-09	0.002191983	3.5762786e-09	-0.042938374	1.0519733	-0.8878107	28.814966	-22.94529	1.8002172	0.022790313	1.0	1.8313891	0.1215645	132000	814.8372678756714
33	-1.4240097	2.8000066	3.4010694	-6.016297	33.3	37.855114	117.0	0.0	400.0	4099.0	0.03013970588235294	0.009238773	0.71844107	2.2441576	-2.030646	4.3922524	5.5605273	21.377563	-5.617136	4.87578e-08	-0.03282435	7.2479246e-08	-0.18591473	0.9867534	-0.8141259	109.82603	-95.58493	1.8230075	0.02895093	1.0	1.8309737	0.60255444	136000	838.6727497577667
34	0.34747064	2.0095816	4.1485887	-2.4023204	10.5	16.057709	52.0	0.0	400.0	4204.0	0.03002857142857143	-0.27350223	0.96211356	2.4042578	-2.8340852	3.5500245	6.5309625	31.66401	-11.783577	3.6706158e-09	-0.00054387975	9.536744e-10	-0.0334274	1.6380048	-1.396013	52.234966	-39.6233	1.8519584	0.029265046	1.0	1.830477	0.08564055	140000	862.7017049789429
35	0.3217639	3.6057231	6.2380896	-5.226419	10.4	16.230835	56.0	0.0	400.0	4308.0	0.029916666666666668	0.13745074	0.5058687	3.0076733	-1.3594748	1.6394345	2.0527928	11.206239	-0.62268126	-3.624825e-08	0.00696051	-5.4597855e-08	-0.01947515	1.8601707	-1.2158766	15.84583	-7.966621	1.8812234	0.02948451	1.0	1.8306274	0.06887494	144000	885.7254159450531
36	-13.904268	5.1394324	-4.0255685	-21.309101	0.6	1.8000001	6.0	0.0	400.0	4314.0	0.029148648648648648	-0.15424918	0.6229748	2.3039432	-2.511672	0.8530484	1.5616505	16.834787	-2.408456	1.8317305e-08	-0.001562057	5.00679e-09	-0.0014420743	10.598336	-7.24619	2.6713467	-2.531558	1.910708	0.027014732	2.0	1.830928	0.0015036116	148000	909.6913318634033
37	-11.172155	5.2781105	1.5886451	-19.376902	0.0	0.0	0.0	0.0	400.0	4314.0	0.02838157894736842	-2.6105902	1.0898947	0.46817756	-5.0199766	0.12580027	0.5745307	4.460753	-2.8736238	-1.9584696e-09	-0.0018384436	-7.152557e-09	-0.00032623386	2.2113316	-0.9553778	0.33535242	-0.27478382	1.9377227	0.024296999	2.0	1.831151	0.0078014648	152000	934.3235421180725
38	-9.660608	6.4238	0.3837627	-18.061054	0.0	0.0	0.0	0.0	400.0	4314.0	0.027653846153846154	-2.614937	1.2239008	1.4728622	-4.664305	0.09991116	0.42153817	3.7848077	-4.823264	-3.903596e-09	-6.830699e-05	-3.1590461e-09	-0.0012951221	3.2360132	-1.3891064	0.18495506	-0.1462448	1.9620197	0.021728516	1.0	1.8314213	0.022904815	156000	958.3585243225098
39	0.44340435	3.2017872	5.137373	-3.5220773	5.7	7.4973326	21.0	0.0	400.0	4371.0	0.02731875	-1.2310333	1.5585253	1.4591515	-4.710015	0.04463066	0.5025317	2.2469873	-3.2215233	2.2627209e-08	-0.0012487277	3.0457972e-08	-0.01848565	3.2859886	-2.666204	6.8560743	-3.7995658	1.9837482	0.021319866	1.0	1.8316169	0.043788895	160000	981.9688236713409
40	-6.199439	4.8873625	1.1538098	-15.198215	4.6	5.314132	14.0	0.0	400.0	4417.0	0.026932926829268292	-0.61256105	0.8895143	1.6844966	-3.2021601	0.65315014	0.871433	5.4827027	-1.0550474	-3.7072748e-10	-0.0089082485	3.6358834e-09	-0.013659636	2.176235	-1.1914415	2.8820636	-1.6360931	2.005068	0.02119422	14.0	1.8318762	0.013047562	164000	1006.7417228221893
41	-0.3288607	2.3217878	4.6965446	-3.0445743	1.6	3.46987	11.0	0.0	400.0	4433.0	0.02638690476190476	-0.39856142	1.1690512	2.1521204	-3.1185324	1.374155	1.7316538	7.0421233	-1.132311	-4.5697015e-09	-0.0018700876	-1.3649464e-08	-0.003937689	1.7463113	-1.2520021	3.994109	-3.1123273	2.0262623	0.018977165	2.0	1.8270881	0.006430681	168000	1031.7025790214539
42	-4.3259163	2.8498728	0.4385334	-8.383239	2.4	5.73062	19.0	0.0	400.0	4457.0	0.02591279069767442	-0.12101778	0.8870991	2.5478017	-3.0210137	0.24166381	0.57177025	3.6521754	-3.6910586	-3.8465946e-09	-0.005975482	6.2584876e-10	-0.008223245	1.2827116	-0.61038226	1.9548354	-1.105613	2.0452394	0.017993212	11.0	1.8259523	0.009529745	172000	1057.0806267261505
43	-2.4726403	1.483716	0.6529635	-4.194132	0.5	1.5	5.0	0.0	400.0	4462.0	0.025352272727272727	-1.0241237	0.9121464	1.6015373	-3.0850072	0.2543624	0.5595164	4.0255876	-1.7396473	6.0340595e-09	-0.0017185706	8.5830685e-09	-0.0013350534	1.1841437	-0.78491026	0.35586938	-0.28191373	2.0632327	0.016002655	2.0	1.8234782	0.003542492	176000	1080.9091527462006
44	-2.8157945	2.679853	1.5612762	-7.22728	0.6	1.8000001	6.0	0.0	400.0	4468.0	0.02482222222222222	-0.22304088	0.7734296	2.1059372	-2.8191776	0.18097456	0.516401	4.098345	-1.2385682	-1.17242385e-08	-0.0025105455	-5.7816507e-09	-0.001770734	0.5527256	-0.2803887	0.38953587	-0.29150388	2.0792353	0.014444351	2.0	1.8232037	0.009950547	180000	1105.2129702568054
45	-2.0402408	1.7912657	1.1183168	-4.6455398	1.6	4.7999997	16.0	0.0	400.0	4484.0	0.024369565217391306	-0.54150295	0.92947394	2.1598685	-2.9239273	0.08640754	0.3921729	3.0326724	-1.3463969	-3.1510545e-09	-0.0008715671	2.8312206e-09	-0.001732721	0.42556158	-0.29392284	2.0754843	-0.8270328	2.0936797	0.013349533	1.0	1.8230672	0.009230697	184000	1130.3837299346924
46	-2.4833655	0.88717204	-1.3005953	-4.263931	3.4	7.310267	23.0	0.0	400.0	4518.0	0.024031914893617022	-0.61001945	0.6995686	1.0528642	-2.3624752	0.09584816	0.5371542	4.8178463	-2.1268215	8.983415e-09	-0.0059841056	2.3841857e-09	-0.008107818	0.4161038	-0.22974513	5.128634	-4.7872086	2.1070292	0.0130159855	2.0	1.8229942	0.008247407	188000	1154.5504508018494
