Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
15	5.0111775	2.5337303	10.050146	-3.9041455	29.96	21.641125	99.0	0.0	300.0	45490.0	0.09477083333333333	1.5501477	0.5513763	3.1793115	-0.14994222	11.507973	5.671886	41.42085	1.0161171	1.1189779e-08	-0.0013396413	-2.4414062e-08	-0.00068666996	0.55750877	-0.11476052	60.903656	-16.974133	0	0	1.0	1.7717001	0.0021478536	480000	2748.158921957016
16	4.7423396	2.239838	10.941966	-1.1329018	34.76	25.642199	163.0	0.0	300.0	48966.0	0.09601176470588235	1.6672835	0.59673834	3.701452	-0.27782395	10.592726	4.4370446	34.20858	1.5027214	1.0172526e-09	-0.0005887034	0.0	0.0049974285	0.42034426	-0.069073975	89.009674	-26.767208	0	0	1.0	1.7712877	0.0077707916	510000	2899.0146646499634
17	5.57403	2.1578794	10.408815	-0.62764215	31.9	23.417301	106.0	0.0	300.0	52156.0	0.09658518518518519	1.7442318	0.57664704	3.2181678	-0.2902561	11.8856	4.4310713	32.203674	3.5730104	9.6639e-09	-0.0009025284	5.6966147e-08	-5.16805e-05	0.44676346	-0.09197983	68.32643	-21.860756	0	0	1.0	1.7709749	0.0016143402	540000	3062.4898324012756
18	5.407174	2.4799366	10.3611	-2.2529445	34.42	28.105936	115.0	0.0	300.0	55598.0	0.09754035087719298	1.8708326	0.55528384	3.5022428	-0.36046273	11.68532	4.6383266	32.544575	1.4888474	1.93278e-08	-0.0020109771	-3.6621095e-08	0.004635527	0.43641466	-0.08237201	94.647606	-32.29622	0	0	1.0	1.7707369	0.0023156607	570000	3223.583272457123
19	5.492671	2.1822853	10.88581	-1.4924585	30.73	22.742409	116.0	0.0	300.0	58671.0	0.097785	1.8424373	0.6339956	3.6133487	-0.20815636	12.308032	5.5773435	39.09395	2.2909625	-4.0690105e-09	-0.0019907837	-6.205241e-08	-0.0008215464	0.50776964	-0.11981332	79.41202	-27.510086	0	0	1.0	1.7704585	0.0038034704	600000	3396.186605453491
20	5.9015923	1.9510592	10.529887	0.37232322	29.24	22.863562	150.0	0.0	300.0	61595.0	0.09776984126984127	1.9374858	0.56902426	3.586647	0.037738886	11.61605	4.4958014	35.07015	3.110319	-1.0172526e-09	-0.00059623364	8.5449216e-08	-0.0008613403	0.41099486	-0.09606901	60.647842	-16.757973	0	0	1.0	1.7701579	0.0017142341	630000	3575.6010048389435
21	5.912592	2.430364	13.016237	-0.95599836	35.56	25.421377	129.0	0.0	300.0	65151.0	0.09871363636363636	1.8685815	0.60209626	3.345754	-0.73392254	11.545932	4.8137803	36.517685	2.1411548	8.138021e-09	-0.0017117767	0.0	0.001331429	0.5217475	-0.10041562	81.348	-27.643082	0	0	1.0	1.7698047	0.0025546479	660000	3728.837527513504
22	6.1230097	1.9434557	11.294663	-0.91012716	32.19	22.859875	98.0	0.0	300.0	68370.0	0.09908695652173913	2.0177774	0.5791841	3.742782	-0.2560122	12.317579	4.912789	37.018867	0.9826818	1.0172526e-09	-0.0012075562	5.6966147e-08	-0.00018751629	0.4190513	-0.090877175	69.54352	-23.677895	0	0	1.0	1.7694764	0.0011638465	690000	3904.3534741401672
23	6.6297174	2.072518	11.39252	0.67212737	28.28	18.965801	76.0	0.0	300.0	71198.0	0.0988861111111111	2.1094391	0.533232	3.5379567	-0.63979244	11.7976055	4.723489	37.796562	1.2831175	6.612142e-09	-0.0029787882	4.0690105e-09	-0.0013182454	0.4523983	-0.09993073	51.692383	-16.477867	0	0	1.0	1.7691022	0.0036633222	720000	4079.2528030872345
24	6.251972	2.0972927	11.1754	0.8433781	32.82	23.207922	130.0	0.0	300.0	74480.0	0.09930666666666667	2.1468832	0.5763054	3.3404543	0.04304617	10.9349785	4.0987453	32.006546	0.7556778	7.1207684e-09	-0.0019376597	-8.138021e-09	-0.0014353719	0.4323656	-0.096149325	68.19397	-22.63403	0	0	1.0	1.7686946	0.0010898303	750000	4237.943440914154
25	6.5463643	2.4178114	11.473934	-0.59013075	28.48	23.026281	113.0	0.0	300.0	77328.0	0.09913846153846154	2.159847	0.5590864	3.4560719	-0.6683972	11.673277	4.5255537	37.742874	2.416878	-8.138021e-09	-0.0013094584	4.0690104e-08	-0.001708016	0.48150527	-0.10057089	59.76782	-20.82658	0	0	1.0	1.768306	0.00058536034	780000	4412.468547105789
26	6.1430445	2.6369257	11.594171	-0.18999133	30.37	18.989288	99.0	0.0	300.0	80365.0	0.09921604938271605	2.1307237	0.63883436	3.5340405	-0.008319027	11.156621	4.977137	38.890614	1.5619465	7.1207684e-09	-0.0013576843	0.0	-0.00043040366	0.5264103	-0.13444948	51.606255	-19.602139	0	0	1.0	1.7678382	0.00035527826	810000	4587.739729642868
27	6.4487324	2.2401996	11.585405	1.0826836	33.39	23.16674	128.0	0.0	300.0	83704.0	0.09964761904761905	2.1479218	0.64534783	3.6507754	-0.8111163	10.749325	4.284532	35.8775	1.0862582	1.0172526e-08	-0.0013287374	3.6621095e-08	0.0012182617	0.46885416	-0.09677598	65.79549	-24.627235	0	0	1.0	1.7672169	0.0004016866	840000	4766.419907569885
28	6.4669685	2.7769258	13.957756	-1.2846072	34.72	24.43157	106.0	0.0	300.0	87176.0	0.10020229885057472	2.1822057	0.6220653	3.5702524	-0.7225952	11.647982	4.735341	37.177708	1.0371972	1.6276042e-08	-0.0010432577	6.510417e-08	-0.00068090815	0.49657384	-0.11156544	72.19338	-29.9561	0	0	1.0	1.7664423	0.0003408566	870000	4942.518620491028
29	6.9408803	2.2659123	13.395125	-0.57488054	27.86	17.058733	74.0	0.0	300.0	89962.0	0.09995777777777778	2.2361128	0.6717381	3.6485689	-0.6966964	11.840048	4.488224	35.977585	-3.034654	1.2207031e-08	-0.006573412	-4.0690104e-08	0.0010754843	0.50814575	-0.10806343	42.228397	-18.333464	0	0	79.0	1.7655287	0.0053352346	900000	5110.450382232666
30	7.6402526	2.0384138	12.423204	2.4829054	28.31	20.788311	90.0	0.0	300.0	92793.0	0.0997774193548387	2.408747	0.59063596	3.7133822	-0.45553914	10.832873	4.184589	30.190516	0.23378806	9.409587e-09	-0.008189932	-2.4414062e-08	-0.0006177043	0.43273085	-0.09872538	50.807117	-18.903086	0	0	79.0	1.7415574	0.006133316	930000	5287.6772792339325
31	8.572312	2.0337195	13.523722	4.2370625	25.45	15.727921	72.0	0.0	300.0	95338.0	0.09931041666666666	2.6088471	0.57388467	3.8779843	-0.69581604	10.517444	3.9656832	29.38312	1.2804651	-6.1035155e-09	-0.0077721756	8.138021e-09	-0.003031897	0.5649665	-0.142618	37.12641	-14.615988	0	0	79.0	1.7051332	0.0058785276	960000	5468.1807515621185
