CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	0.19645229	0.8	300.0	0.045757607	0.0460929	0.04625142	0.1095349	0.9435375	0.6339727	-0.053153466	0.8227321	0.09397795	-0.069949955	0.016796486	-19.053179	300.0	14.05	101.38113689422607
2	1	3000	-1.1052735	30.6	300.0	0.0057035647	0.09727979	0.09721691	0.025049096	0.80114233	0.6339727	-0.068129554	-0.22921695	0.20720443	-0.09879162	0.030662064	-18.53103	300.0	4.85	201.47094893455505
2	2	4500	-0.042445756	13.0	300.0	0.0033980736	0.09187325	0.09191834	0.020423276	0.7869908	0.6339727	-0.049938403	-0.5301086	0.30643594	-0.08802391	0.03808551	1.8357712	299.45	64.25	297.3906047344208
2	3	6000	1.2312746	36.2	300.0	0.0033032654	0.07831478	0.0783229	0.025769345	0.8905485	0.6339727	0.021783669	-0.5005755	0.4440655	-0.07320497	0.09498864	1.7924719	294.3	86.7	387.293080329895
2	4	7500	1.5252149	83.4	300.0	0.003023137	0.06679174	0.066785604	0.040267106	0.97339803	0.6339727	0.12579715	-0.20905727	0.6394925	-0.059109934	0.1849071	1.0084808	300.0	18.3	479.2191104888916
2	5	9000	0.03085317	18.0	300.0	0.0026114327	0.04845997	0.04837592	0.033308096	0.9778473	0.6339727	0.20318717	0.0944895	0.8520504	-0.03679817	0.23998533	0.07507418	300.0	6.1	574.2450370788574
2	6	10500	0.3307736	2.8	300.0	0.0027094684	0.028553985	0.028521962	0.028920822	0.93242437	0.6339727	0.22367069	0.3394393	1.0383917	-0.013465348	0.23713602	-0.49703056	300.0	1.15	668.7229902744293
2	7	12000	-0.26613486	5.2	300.0	0.0027856012	0.008630794	0.008625558	0.029579049	0.85586196	0.6339727	0.18015906	0.47380713	1.1722112	0.0065047904	0.17365427	0.5269993	300.0	16.25	761.3311867713928
2	8	13500	0.9913103	13.4	300.0	0.0027520948	-0.008085337	-0.008053389	0.033738773	0.8356427	0.6339727	0.1879333	0.5584353	1.2742072	0.024666913	0.16326639	0.9345061	300.0	36.65	855.0943694114685
2	9	15000	0.7700027	11.6	300.0	0.0030869842	-0.026698528	-0.02672427	0.032107644	0.78818357	0.6339727	0.15101872	0.6498043	1.3479699	0.044267755	0.10675096	0.61026305	300.0	19.3	950.6256868839264
2	10	16500	-0.015003717	0.0	300.0	0.0031072774	-0.046378262	-0.046333395	0.029505882	0.71797097	0.6339727	0.07929602	0.64120734	1.3763257	0.0637555	0.015540525	0.44713545	300.0	15.05	1044.2204658985138
2	11	18000	0.9975861	46.6	300.0	0.003094518	-0.05891308	-0.05903597	0.0400271	0.7018299	0.6339727	0.07425683	0.5918885	1.3775485	0.075360276	-0.0011034498	0.6252429	300.0	18.15	1137.753104686737
2	12	19500	0.20036295	2.6	300.0	0.0029845615	-0.06993382	-0.06980758	0.036296874	0.66631603	0.6339727	0.03599245	0.5103541	1.3625953	0.08435558	-0.04836312	0.35901922	300.0	4.9	1229.878664970398
2	13	21000	0.14958937	45.4	300.0	0.00300411	-0.08402406	-0.08402541	0.04011735	0.6602817	0.6339727	0.041971955	0.5017873	1.332738	0.09822874	-0.05625678	0.81715125	300.0	34.65	1325.0623219013214
