Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.36126122	1.6471953	7.672109	-1.5765496	12.07	10.890596	50.0	0.0	150.0	2414.0	0.08046666666666667	1.1390795	0.21638632	1.8723673	-0.56764364	-0.5605859	0.11117248	0.41791284	-0.9203181	-1.4241537e-08	-0.009535956	-5.6966147e-08	-0.00045946453	0.7877835	-0.46164897	37.493896	-21.792667	0	0	2.0876458	0.0	1.837877	0.00880553	30000	244.00672388076782
1	0.65300006	2.1649148	11.578182	-1.364186	11.475	11.191486	52.0	0.0	150.0	4709.0	0.07848333333333334	0.6901051	0.46285388	2.265394	-1.3111644	3.63494	2.2856085	12.223015	-2.325779	1.7293294e-08	-0.010850056	1.6276042e-08	-0.0018107097	0.5671758	-0.075006604	19.079796	-4.454261	0	0	1.9985129	0.0	1.8167806	0.009557109	60000	475.99134707450867
2	1.021419	2.9175835	16.368248	-1.4608393	11.13	9.869301	42.0	0.0	150.0	6935.0	0.07705555555555556	0.58219343	0.6003415	3.0627935	-1.0609573	5.579947	2.9088557	13.247922	-2.026596	-1.3224284e-08	-0.009574284	0.0	0.0017626587	0.9021966	-0.059891164	12.11586	-1.3171835	0	0	2.0639703	0.0	1.8274746	0.009411107	90000	723.3973352909088
3	1.0993836	2.4774778	16.003609	-1.5696098	12.52	11.116636	50.0	0.0	150.0	9439.0	0.07865833333333333	0.6073695	0.6862382	3.9300742	-0.7483841	6.5319047	3.2517188	14.55282	-3.4895918	4.0690105e-09	-0.011402017	0.0	0.009701965	1.0127172	-0.049999416	14.766925	-1.556942	0	0	1.7471516	0.0	1.8451434	0.008403172	120000	950.5628397464752
4	1.3846005	2.340959	9.873979	-1.4239978	11.91	10.202054	41.0	0.0	150.0	11821.0	0.07880666666666666	0.6979591	0.73019785	3.8995235	-0.7603262	6.8510795	3.8755186	16.847843	-2.5793254	-2.7974447e-09	-0.012890492	3.86556e-08	0.006798639	0.75797147	-0.055628836	12.444583	-0.94163513	0	0	1.6452367	0.0	1.8615727	0.008213243	150000	1185.252198934555
5	2.3624277	3.3307607	17.65286	-1.8625215	13.115	9.810799	64.0	0.0	150.0	14444.0	0.08024444444444444	1.0179579	0.8864506	4.1938725	-0.95911014	8.350144	3.6955876	17.34689	-2.8901308	-4.0690105e-09	-0.0127208745	-3.051758e-08	0.002536432	1.6827521	-0.2100929	13.848465	-0.64827156	0	0	1.6591586	0.0	1.885994	0.008806083	180000	1409.414442062378
6	2.7477944	3.513857	15.6914625	-1.3230301	15.04	11.25515	60.0	0.0	150.0	17452.0	0.0831047619047619	1.3970078	1.066186	4.8079867	-0.8417587	8.212571	3.3416624	17.386663	-2.255363	-1.7801921e-09	-0.01440296	-4.8828124e-08	0.0047766482	2.2127192	-0.41781235	17.57142	-2.2418118	0	0	1.5250266	0.0	1.8987663	0.009361259	210000	1634.9512875080109
7	4.622908	4.5949397	21.32564	-2.1192572	14.92	10.047567	46.0	0.0	150.0	20436.0	0.08515	1.8807229	1.0079323	5.099265	-1.0724686	9.638029	3.5791037	19.981094	-2.6693094	4.0690104e-08	-0.012887588	0.0	0.0064179767	3.7121096	-0.87348557	13.94265	-0.65151215	0	0	1.6261834	0.0	1.9058819	0.009248308	240000	1871.237325668335
8	5.3891354	4.393891	18.828554	-1.9960636	17.715	9.975158	55.0	0.0	150.0	23979.0	0.0888111111111111	2.6905317	1.199455	6.0918927	-0.7474851	10.170241	3.129727	19.665659	-1.4102587	1.2207031e-08	-0.013893151	1.2207031e-08	0.008405307	3.9797199	-0.58993196	17.371796	-2.1441078	0	0	1.5286345	0.0	1.9043014	0.009435013	270000	2102.350046634674
9	7.3448744	5.0023317	24.806328	-0.8552854	17.22	8.824489	57.0	0.0	150.0	27423.0	0.09141	3.4975317	1.2226919	6.308709	0.086782865	11.523983	2.7621956	21.45443	-1.9607489	-1.1698405e-08	-0.0128614465	-1.2207031e-08	0.0047050253	5.245206	-0.9143386	14.440658	-1.0179386	0	0	1.556029	0.0	1.9129431	0.008898648	300000	2330.0689549446106
