CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
1	0	1500	-13.918683	4.2	300.0	0.011952124	-0.3643788	0.038883347	0.55356085	0.31698635	0.35530335	0.09795653	0.33517668	0.020126674	5.2907434	300.0	26.0	100.55539464950562
1	1	3000	-2.6888332	43.2	300.0	0.004144473	-0.36254182	0.023388384	0.6011955	0.31698635	0.41562608	0.27661937	0.34271047	0.07291559	1.2270471	300.0	0.0	238.61552834510803
1	2	4500	1.4633547	0.0	300.0	0.0034229064	-0.3175028	0.017067855	0.5668872	0.31698635	0.3879593	0.44454798	0.30147678	0.08648253	1.1171032	300.0	0.0	378.16185569763184
1	3	6000	0.6526345	0.0	300.0	0.0034652713	-0.2732998	0.015117787	0.4783818	0.31698635	0.31937003	0.549884	0.26061243	0.05875758	-0.7414276	300.0	10.0	515.9401636123657
1	4	7500	1.3047183	4.4	300.0	0.0026357041	-0.24747768	0.0148096485	0.4008	0.31698635	0.2545988	0.594666	0.23484729	0.019751487	0.46619096	300.0	0.0	651.533665895462
1	5	9000	1.9210002	0.0	300.0	0.002730137	-0.21891133	0.012106795	0.32725066	0.31698635	0.18723644	0.59110403	0.20609522	-0.018858792	2.181491	300.0	0.0	795.1069555282593
1	6	10500	2.343148	5.2	300.0	0.0026310144	-0.1939076	0.012872135	0.27515373	0.31698635	0.13587454	0.5483821	0.1796651	-0.043790556	0.15805736	300.0	0.0	903.9825723171234
1	7	12000	1.5742109	0.0	300.0	0.0026421014	-0.16753533	0.012488921	0.23593856	0.31698635	0.0971474	0.474898	0.15122226	-0.054074865	2.438141	300.0	0.0	977.3573331832886
1	8	13500	4.310454	3.6	300.0	0.0027633985	-0.13130194	0.011137549	0.20129654	0.31698635	0.060009245	0.37776166	0.113666415	-0.053657167	-1.4055163	300.0	0.0	1050.4169309139252
1	9	15000	2.6157227	28.8	300.0	0.0025824686	-0.09756631	0.016852543	0.18746655	0.31698635	0.038723625	0.26694646	0.07849785	-0.039774217	4.7797613	300.0	0.0	1120.869446516037
1	10	16500	0.7825471	0.6	300.0	0.0028365904	-0.06250658	0.0138157	0.18196513	0.31698635	0.01779363	0.15732071	0.04053081	-0.022737175	13.092833	300.0	0.0	1190.758605003357
1	11	18000	6.607524	1.8	300.0	0.0029276605	-0.012716653	0.014336687	0.19322821	0.31698635	-0.019753514	0.05650814	-0.012569273	-0.0071842405	9.466856	300.0	18.0	1254.17098402977
1	12	19500	9.115656	3.0	300.0	0.0034733724	0.039490286	0.017325187	0.22013612	0.31698635	-0.06832619	0.0014020093	-0.06819578	-0.00013040261	6.8628936	300.0	7.0	1325.9920389652252
1	13	21000	14.151604	5.0	300.0	0.0035213688	0.12510282	0.021932017	0.2571281	0.31698635	-0.15483093	0.0008170792	-0.15488152	5.058203e-05	15.77886	300.0	0.0	1394.821784734726
1	14	22500	13.4599285	8.4	300.0	0.003365403	0.20960692	0.01868615	0.24366266	0.31698635	-0.23919913	0.00023029977	-0.2392091	9.9510535e-06	20.673836	300.0	0.0	1469.278063774109
1	15	24000	16.050926	3.0	300.0	0.0031999878	0.2892741	0.019951517	0.24372073	0.31698635	-0.32219338	0.00015887759	-0.32219836	5.015436e-06	25.148808	300.0	0.0	1540.302184343338
1	16	25500	18.494415	0.0	300.0	0.0030948778	0.38165286	0.02219973	0.26854825	0.31698635	-0.41623843	0.0005941864	-0.416265	2.6556589e-05	21.574093	300.0	0.0	1609.9196524620056
1	17	27000	21.037422	0.0	300.0	0.0032409227	0.46444952	0.018617554	0.26130685	0.31698635	-0.4994685	0.00037283546	-0.49948376	1.5274783e-05	22.601353	300.0	0.0	1679.3596396446228
1	18	28500	19.185299	1.2	300.0	0.0030258517	0.5548144	0.019847957	0.26853436	0.31698635	-0.58879274	0.00034227388	-0.5888121	1.9430068e-05	23.521631	300.0	0.0	1753.2446162700653
1	19	30000	21.19136	2.8	300.0	0.0029991125	0.64167726	0.015810942	0.26961797	0.31698635	-0.6739314	0.00032381667	-0.6739445	1.30739e-05	19.321936	300.0	0.0	1822.5985655784607
1	20	31500	21.342703	0.0	300.0	0.0026901988	0.73865634	0.011931973	0.22739682	0.31698635	-0.766637	2.1711372e-05	-0.76663584	-1.1809639e-06	20.734585	300.0	0.0	1894.0838389396667
1	21	33000	20.409657	5.2	300.0	0.002654189	0.8289456	0.011896861	0.21278508	0.31698635	-0.854248	1.865109e-05	-0.8542464	-1.5716522e-06	21.9031	300.0	0.0	1958.6220347881317
1	22	34500	21.569546	0.0	300.0	0.002708629	0.91647637	0.00933466	0.19444235	0.31698635	-0.9379147	1.8814326e-05	-0.9379127	-1.9766615e-06	22.152447	300.0	0.0	2031.7441070079803
1	23	36000	20.843996	0.0	300.0	0.0029799107	1.0074605	0.00625508	0.14391518	0.31698635	-1.025104	9.968125e-06	-1.0251025	-1.5434034e-06	23.029509	300.0	0.0	2101.744168281555
1	24	37500	22.545364	0.0	300.0	0.002933569	1.0855095	0.0058832583	0.13500865	0.31698635	-1.1010487	1.0603617e-05	-1.101047	-1.723101e-06	21.12383	300.0	0.0	2172.622902870178
1	25	39000	21.941315	2.4	300.0	0.0031146153	1.1509297	0.0049972534	0.12956963	0.31698635	-1.1657798	1.1147629e-05	-1.165778	-1.910722e-06	22.872824	300.0	0.0	2240.048399448395
1	26	40500	22.253733	0.0	300.0	0.0032717527	1.215231	0.0046750973	0.11859327	0.31698635	-1.2283807	1.0310023e-05	-1.2283789	-1.8543499e-06	21.325848	300.0	0.0	2307.095532178879
1	27	42000	21.439785	1.0	300.0	0.0030686015	1.2682809	0.0051173656	0.11292401	0.31698635	-1.2813158	1.0947492e-05	-1.2813138	-2.0100008e-06	21.472258	300.0	0.0	2372.964161634445
1	28	43500	21.41515	0.0	300.0	0.0029299187	1.3219715	0.0028576916	0.08687398	0.31698635	-1.3341682	6.523934e-06	-1.3341668	-1.4197346e-06	21.391603	300.0	0.0	2440.5890967845917
1	29	45000	21.68167	0.8	300.0	0.0027825073	1.3651794	0.0032603254	0.08420562	0.31698635	-1.3774245	7.275145e-06	-1.3774228	-1.5779108e-06	22.834433	300.0	0.0	2514.237324953079
1	30	46500	23.709787	0.0	300.0	0.002787737	1.3997285	0.0040322673	0.08280146	0.31698635	-1.411715	8.2727165e-06	-1.4117131	-1.7858873e-06	19.06763	300.0	0.0	2589.3125
1	31	48000	21.545874	0.2	300.0	0.0029261345	1.4353995	0.002721083	0.07305604	0.31698635	-1.4474571	9.117504e-06	-1.447455	-2.0270684e-06	19.9793	300.0	0.0	2662.4725728034973
1	32	49500	20.677477	0.0	300.0	0.0028397357	1.4604887	0.0031755874	0.06572418	0.31698635	-1.4733618	9.852216e-06	-1.4733593	-2.2400661e-06	24.006525	300.0	0.0	2735.40745472908
1	33	51000	21.995125	0.6	300.0	0.0026446157	1.4871577	0.0041018566	0.060071323	0.31698635	-1.5004008	8.9562345e-06	-1.5003986	-2.109371e-06	25.027863	300.0	0.0	2808.008154630661
1	34	52500	24.509192	0.0	300.0	0.0022560207	1.5123835	0.001306754	0.047400225	0.31698635	-1.5258727	5.7851366e-06	-1.5258712	-1.486513e-06	20.763882	300.0	0.0	2880.531548023224
1	35	54000	21.197536	0.0	300.0	0.002147655	1.530848	0.0012630927	0.045677036	0.31698635	-1.5442034	5.03966e-06	-1.544202	-1.2969557e-06	22.37907	300.0	7.0	2953.8121054172516
1	36	55500	22.90183	5.4	300.0	0.0025266982	1.5467503	0.0020919149	0.047009874	0.31698635	-1.5598612	7.5287608e-06	-1.5598594	-1.916973e-06	19.492363	300.0	5.0	3022.1246399879456
1	37	57000	19.492361	5.0	300.0	0.001786728	1.5572872	0.0025241317	0.04748332	0.31698635	-1.570459	6.4990395e-06	-1.5704572	-1.6478125e-06	17.21893	300.0	0.0	3090.3891904354095
1	38	58500	16.94686	0.4	300.0	0.0020160072	1.5685219	0.0025404054	0.051266517	0.31698635	-1.5821246	7.978528e-06	-1.5821226	-1.991678e-06	20.45837	300.0	0.0	3156.598111152649
1	39	60000	20.995298	1.6	300.0	0.0019978194	1.5770838	0.0021630796	0.04637938	0.31698635	-1.5905412	7.0284987e-06	-1.5905395	-1.7921948e-06	19.820457	300.0	0.0	3225.6606097221375
1	40	61500	21.326881	0.0	300.0	0.0015404627	1.588367	0.0023541376	0.045489095	0.31698635	-1.6027474	7.5605117e-06	-1.6027455	-1.9421589e-06	23.487513	300.0	0.0	3292.684157371521
1	41	63000	23.48751	0.0	300.0	0.0013838019	1.5975316	0.0026163987	0.046522386	0.31698635	-1.611568	8.334706e-06	-1.611566	-2.1243006e-06	19.337431	300.0	0.0	3362.2516119480133
1	42	64500	19.71782	0.0	300.0	0.001362893	1.609543	0.0026443016	0.045440156	0.31698635	-1.6224144	8.619264e-06	-1.6224121	-2.15327e-06	24.189419	300.0	8.0	3431.536033153534
1	43	66000	23.167553	8.0	300.0	0.0012434314	1.608869	0.0023108807	0.05398286	0.31698635	-1.6219684	9.106657e-06	-1.6219662	-2.2449453e-06	19.936758	300.0	22.0	3501.9097170829773
1	44	67500	21.006536	13.2	300.0	0.0012499557	1.610977	0.004458373	0.061744973	0.31698635	-1.62412	1.1058128e-05	-1.6241174	-2.582298e-06	14.364199	300.0	0.0	3571.316166162491
1	45	69000	13.828511	2.4	300.0	0.001660307	1.6116406	0.0042284797	0.077093385	0.31698635	-1.6237932	1.275164e-05	-1.6237905	-2.7609542e-06	18.004148	300.0	0.0	3638.5540266036987
1	46	70500	10.995492	0.8	300.0	0.0012760446	1.6094743	0.0035824913	0.08703558	0.31698635	-1.6208899	1.3559101e-05	-1.6208872	-2.7986837e-06	17.641232	300.0	0.0	3704.470491886139
1	47	72000	17.693996	0.0	300.0	0.0010717766	1.605847	0.0035020302	0.09547905	0.31698635	-1.6174229	1.3012069e-05	-1.6174204	-2.6039068e-06	20.997215	300.0	0.0	3775.0071494579315
1	48	73500	19.40522	1.0	300.0	0.0010834105	1.5976659	0.0038199034	0.10394566	0.31698635	-1.6091938	1.4640766e-05	-1.6091911	-2.7205986e-06	14.725429	300.0	0.0	3843.830484390259
1	49	75000	12.129613	1.4	300.0	0.0011562177	1.5933169	0.0034519457	0.107160315	0.31698635	-1.6041033	1.3912995e-05	-1.6041007	-2.5966374e-06	5.62168	300.0	19.0	3913.099221467972
1	50	76500	9.484984	3.8	300.0	0.0011180175	1.5852803	0.003822657	0.109391354	0.31698635	-1.5954622	1.3622577e-05	-1.5954597	-2.4735539e-06	13.069443	300.0	0.0	3982.3049154281616
1	51	78000	14.1006365	0.2	300.0	0.0010863561	1.5934834	0.004116952	0.11747142	0.31698635	-1.6034082	1.5696169e-05	-1.6034056	-2.625865e-06	2.3419147	300.0	0.0	4047.6749415397644
1	52	79500	4.7545996	0.8	300.0	0.0008434452	1.5769609	0.0037500386	0.12234267	0.31698635	-1.5859123	1.6814816e-05	-1.5859096	-2.707337e-06	12.438711	300.0	0.0	4117.3602130413055
1	53	81000	9.204673	0.0	300.0	0.00088209787	1.567879	0.0044217003	0.13590164	0.31698635	-1.5765004	2.0945374e-05	-1.5764973	-2.9220437e-06	18.170267	300.0	0.0	4190.1244764328
1	54	82500	18.07484	0.0	300.0	0.00090308156	1.5556877	0.0045635584	0.14920743	0.31698635	-1.5642332	1.8915069e-05	-1.5642307	-2.5082877e-06	15.557492	300.0	13.0	4257.159718751907
1	55	84000	14.410769	7.8	300.0	0.0009466284	1.5376972	0.0043552825	0.16806467	0.31698635	-1.5467626	3.075653e-05	-1.5467602	-2.3409045e-06	14.666783	300.0	0.0	4328.758285284042
1	56	85500	11.265507	3.6	300.0	0.0008875381	1.5268975	0.0045832815	0.16215387	0.31698635	-1.5360017	2.1642714e-05	-1.5359993	-2.4528488e-06	17.523193	300.0	0.0	4393.154099941254
1	57	87000	17.296677	0.0	300.0	0.0008674314	1.5297595	0.0056069414	0.14802364	0.31698635	-1.5390147	1.9201358e-05	-1.5390122	-2.4566316e-06	12.059053	300.0	0.0	4466.117744922638
1	58	88500	15.095301	5.6	300.0	0.00092107937	1.5237693	0.004935211	0.13315845	0.31698635	-1.5323832	1.0987172e-05	-1.5323813	-1.7805169e-06	10.872195	300.0	0.0	4537.361181735992
1	59	90000	10.551975	0.0	300.0	0.0007446347	1.5208373	0.0042644623	0.13337065	0.31698635	-1.5297842	1.0937829e-05	-1.5297824	-1.7690768e-06	17.703653	300.0	19.0	4608.422146558762
1	60	91500	15.904047	14.8	300.0	0.0007007242	1.5234483	0.006076284	0.1581314	0.31698635	-1.5317776	1.3964724e-05	-1.5317756	-1.8651792e-06	18.92815	300.0	0.0	4677.442782878876
1	61	93000	18.928146	0.0	300.0	0.00071122206	1.5158885	0.0054718535	0.1913327	0.31698635	-1.5241948	1.5440395e-05	-1.5241933	-1.4742669e-06	13.14995	300.0	12.0	4748.688332557678
1	62	94500	14.229317	4.8	300.0	0.00069246325	1.5161014	0.0065178736	0.2052582	0.31698635	-1.5250757	1.8314291e-05	-1.5250742	-1.3893924e-06	-2.9545312	300.0	0.0	4820.122005701065
1	63	96000	-2.3083756	0.0	300.0	0.0008386161	1.5650388	0.006169297	0.21922411	0.31698635	-1.575891	1.8854305e-05	-1.5758898	-1.2504009e-06	-6.659266	300.0	0.0	4888.270698070526
1	64	97500	-1.2745318	0.0	300.0	0.000900659	1.5859159	0.005155791	0.21945812	0.31698635	-1.597967	4.407356e-05	-1.5979668	-2.3436209e-07	5.570284	300.0	0.0	4955.7031507492065
1	65	99000	6.3157864	5.2	300.0	0.0007961756	1.5855308	0.0097865565	0.25796676	0.31698635	-1.5981096	0.000115585535	-1.5981109	1.3667268e-06	4.9608603	300.0	0.0	5027.51176738739
1	66	100500	4.7106485	2.2	300.0	0.00085226935	1.6035045	0.010207121	0.3068956	0.31698635	-1.61827	0.0020981506	-1.6183631	9.308043e-05	5.987521	300.0	0.0	5101.061699151993
1	67	102000	5.9875216	0.0	300.0	0.0007008433	1.594272	0.007887557	0.32276773	0.31698635	-1.6085904	0.0058797714	-1.6088157	0.00022515118	2.601646	300.0	0.0	5170.4118275642395
1	68	103500	2.558204	0.0	300.0	0.0007159423	1.5997664	0.012883785	0.3607095	0.31698635	-1.6111574	0.030954855	-1.6127942	0.0016368002	10.5248	300.0	30.0	5235.6196274757385
1	69	105000	10.801867	22.0	300.0	0.00072934135	1.6041124	0.019822827	0.40062696	0.31698635	-1.6096227	0.08294892	-1.6167494	0.0071266345	6.7298594	300.0	0.0	5301.566010951996
1	70	106500	7.3332114	0.0	300.0	0.00066955696	1.6144216	0.015905477	0.43541873	0.31698635	-1.6096987	0.1573598	-1.6267829	0.017084258	9.358487	300.0	14.0	5369.871840953827
1	71	108000	8.902268	20.2	300.0	0.0007228863	1.614356	0.020017074	0.4509737	0.31698635	-1.599683	0.2381929	-1.6244124	0.024729345	20.177885	300.0	0.0	5438.437650680542
1	72	109500	12.291273	1.6	300.0	0.0007961512	1.6098509	0.015018028	0.4149226	0.31698635	-1.602438	0.2936571	-1.6188344	0.016396357	12.813359	300.0	0.0	5509.637222528458
1	73	111000	14.669174	0.0	300.0	0.0007010119	1.6046891	0.0145972455	0.37421966	0.31698635	-1.6084423	0.31677997	-1.6137575	0.0053152326	14.920711	300.0	19.0	5575.465168237686
1	74	112500	14.148892	19.0	300.0	0.0006743138	1.5990379	0.014098254	0.33503413	0.31698635	-1.6139431	0.313723	-1.6086514	-0.005291828	12.351675	300.0	5.0	5644.058637142181
1	75	114000	12.351676	5.0	300.0	0.00056112994	1.5934623	0.012892819	0.32562467	0.31698635	-1.611599	0.2976534	-1.6036253	-0.007973754	16.107582	300.0	5.0	5712.014936923981
1	76	115500	15.653308	5.0	300.0	0.0004500308	1.5751921	0.011964073	0.3110197	0.31698635	-1.5951426	0.271646	-1.5844351	-0.010707518	17.774364	300.0	0.0	5786.13494849205
1	77	117000	17.774366	0.0	300.0	0.00050683226	1.5537071	0.011939544	0.3088925	0.31698635	-1.571725	0.24008808	-1.5614525	-0.010272467	21.585453	300.0	0.0	5855.531737089157
1	78	118500	16.370413	0.0	300.0	0.0005188764	1.5465841	0.013455348	0.27966258	0.31698635	-1.5675952	0.19942427	-1.5541706	-0.01342448	15.220732	300.0	44.0	5924.767025947571
1	79	120000	16.300007	1.2	300.0	0.00053000386	1.5487722	0.01628117	0.28469217	0.31698635	-1.5654778	0.15053134	-1.55615	-0.009327954	15.265936	300.0	0.0	5988.063243865967
1	80	121500	15.5062	0.0	300.0	0.0005062281	1.5435563	0.01188648	0.2771766	0.31698635	-1.5578213	0.10063126	-1.550967	-0.0068543046	19.567455	300.0	0.0	6059.161230802536
1	81	123000	19.253336	0.0	300.0	0.00045791833	1.539606	0.013099299	0.27454975	0.31698635	-1.5501069	0.047478464	-1.5468482	-0.003258721	19.346842	300.0	7.0	6130.8074016571045
1	82	124500	19.580008	7.0	300.0	0.00048017633	1.5377488	0.013787631	0.2450771	0.31698635	-1.5451028	0.0029763402	-1.5448313	-0.00027150527	12.315311	300.0	0.0	6203.872429132462
