Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.4410896	2.2929702	5.4921794	-5.889853	10.23	14.185101	60.0	0.0	300.0	1023.0	0.0341	-0.40976894	0.081334345	-0.049740627	-0.77380663	-0.0411937	0.0978471	0.3960504	-0.43730208	1.0172526e-08	0.037655883	3.2552084e-08	-0.0015978598	1.7007273	-0.6936015	30.846033	-16.252663	0	0	1.0	1.837877	0.05220018	30000	119.48549318313599
1	-0.38834798	2.1744137	7.3261576	-5.746979	19.17	22.270634	92.0	0.0	300.0	2940.0	0.049	-0.5780412	0.93957055	1.6357907	-3.247405	3.4824834	3.5373855	15.311043	-3.7565584	8.138021e-09	0.07165834	-3.2552084e-08	0.0010975098	0.9545385	-0.52398324	56.864315	-12.492439	0	0	1.0	1.8383737	0.09772679	60000	255.1636998653412
2	-6.0000353	3.4071503	2.3990686	-13.344141	8.44	14.951469	99.0	0.0	300.0	3784.0	0.04204444444444445	-0.17141993	0.36763528	1.258639	-1.3519679	2.4935932	4.5368524	21.368309	-2.5198722	-3.560384e-08	-0.0018545436	-4.8828124e-08	0.0032462687	3.6960938	-2.4062881	17.0537	-5.0190935	0	0	1.0	1.8392487	0.01008732	90000	392.4880368709564
3	-1.9040707	2.8655005	5.3322935	-8.643426	14.33	16.670366	84.0	0.0	300.0	5217.0	0.043475	-1.3281506	0.8836542	1.7609955	-4.588357	2.8789604	4.342654	23.078863	-2.448156	1.0172526e-09	-0.002094344	-8.138021e-09	0.009726048	1.5173061	-0.48467243	23.529919	-4.2702694	0	0	2.0	1.8401152	0.015329064	120000	524.8918273448944
4	-0.6415707	2.3354354	5.4597216	-6.1153417	18.49	20.826662	112.0	0.0	300.0	7066.0	0.047106666666666665	-0.79124945	0.86285233	1.4060748	-3.7763338	5.192194	4.292593	22.447504	-1.3891526	-1.0172526e-08	-0.012936889	-4.0690105e-09	0.01650188	0.79858905	-0.3569746	41.52704	-5.8274803	0	0	79.0	1.8412062	0.007657191	150000	650.438481092453
5	1.2630844	2.4753952	8.274167	-4.580879	22.69	21.851633	87.0	0.0	300.0	9335.0	0.05186111111111111	-0.19877715	0.62494177	1.3233051	-2.7177792	7.6827	4.148835	23.571102	-3.5015402	2.8483074e-08	-4.60083e-05	-2.4414062e-08	0.007214152	0.8177625	-0.31157762	55.845314	-10.040546	0	0	2.0	1.821307	0.0037757435	180000	798.8233418464661
6	1.3856897	2.3228292	7.435549	-4.287007	25.8	21.511393	91.0	0.0	300.0	11915.0	0.05673809523809524	0.26744905	0.5647014	1.9665262	-1.7296054	7.7619386	4.718333	26.764326	-0.51263523	1.8310548e-08	-0.0036019552	1.6276042e-08	0.0061058714	0.5440791	-0.068107456	51.57565	-8.058243	0	0	3.0	1.8210726	0.004169623	210000	924.8303611278534
7	2.1671574	2.175431	7.9075346	-2.815435	33.06	23.375122	93.0	0.0	300.0	15221.0	0.06342083333333333	0.49340582	0.6107903	2.403686	-1.5860523	10.093152	4.977845	31.776552	-1.7447538	-8.138021e-09	-0.0018985636	-4.0690104e-08	0.003566683	0.5358765	-0.08721444	67.22532	-10.930813	0	0	1.0	1.820375	0.0005066144	240000	1080.2732663154602
8	1.9404318	2.443958	10.358906	-2.8902776	30.59	25.259491	145.0	0.0	300.0	18280.0	0.06770370370370371	0.73369753	0.5657446	2.3339803	-1.2447848	11.227248	4.5166006	29.895216	-0.558203	-4.0690105e-09	-0.0028722128	-6.510417e-08	0.0025347087	0.5098214	-0.037281454	58.654957	-8.490749	0	0	1.0	1.8201299	0.0035609729	270000	1194.4758262634277
9	2.747768	2.3550043	7.579988	-1.6809243	36.34	29.715054	175.0	0.0	300.0	21914.0	0.07304666666666666	0.73191035	0.6000667	2.276378	-1.307442	11.47145	5.372441	36.09118	-0.692968	1.8310548e-08	-0.0019319274	8.138021e-09	0.0017820313	0.5226254	-0.08754659	89.672165	-16.137497	0	0	1.0	1.8199835	0.000545873	300000	1332.1625299453735
