Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.62120545	1.1918	2.2534213	-4.456754	8.88	12.820515	74.0	0.0	150.0	1776.0	0.0592	-0.43908978	0.14860749	0.78076524	-1.8232592	-0.024032297	0.16815865	0.6345694	-0.6648488	8.138021e-09	-0.02076377	1.0172526e-07	0.013761849	0.47790378	-0.12027007	41.814312	-14.4279	0	0	0.95811784	0.0	1.837877	0.008626286	30000	226.9040493965149
1	0.03937866	1.1937793	3.3316665	-3.563466	11.645	14.884521	84.0	0.0	150.0	4105.0	0.06841666666666667	-0.43834087	0.30212265	0.7312768	-1.7692032	3.3630624	2.275965	9.813908	-2.2691538	-9.155274e-09	-0.021082515	6.510417e-08	0.014150227	0.4105545	-0.08599636	49.0797	-8.49744	0	0	0.99421185	0.0	1.8385221	0.00960266	60000	451.6787955760956
2	0.9243385	1.2831347	5.457916	-1.9746941	14.825	18.685406	116.0	0.0	150.0	7070.0	0.07855555555555556	-0.23475234	0.26312786	1.0137944	-1.1099058	6.502458	2.77703	13.1722975	-1.5838267	0.0	-0.017753137	-4.4759116e-08	0.0008246216	0.52666485	-0.19443402	62.56165	-8.572128	0	0	1.1882665	0.0	1.8239214	0.0088002235	90000	677.5749051570892
3	1.6134362	2.0051813	10.80603	-2.6608653	13.725	18.252653	85.0	0.0	150.0	9815.0	0.08179166666666667	0.09613194	0.2827575	1.631758	-0.80396134	8.243557	3.563216	18.927877	-3.4017775	-4.119873e-08	-0.017449047	-1.6276042e-08	-0.011203166	0.8146283	-0.22877973	66.70991	-6.845524	0	0	1.2296833	0.0	1.8253574	0.009214621	120000	898.8486084938049
4	2.4525712	2.4309142	14.375564	-0.9407846	12.985	17.179487	86.0	0.0	150.0	12412.0	0.08274666666666666	0.46423784	0.44153002	2.884453	-0.76585925	9.171897	3.3881671	20.519163	-3.5602167	-2.4414062e-08	-0.015556547	-1.6276042e-08	0.0037482749	1.1965811	-0.3479219	61.512665	-7.17165	0	0	1.3226304	0.0	1.8341357	0.009056866	150000	1120.9887294769287
5	3.452582	2.9002113	16.228731	-2.6196327	12.015	16.147284	73.0	0.0	150.0	14815.0	0.08230555555555556	1.0004485	0.6515534	4.3551474	-0.2865399	9.363675	3.2771769	22.02867	-2.0300422	1.5258789e-09	-0.016217858	0.0	0.0040016277	1.7742344	-0.41276813	53.108322	-5.620468	0	0	1.2369263	0.0	1.81974	0.008868588	180000	1348.3524112701416
6	4.5286617	2.8781395	14.952488	-1.5693134	11.335	13.996527	76.0	0.0	150.0	17082.0	0.08134285714285715	1.5694399	0.7636384	5.169619	-0.32349676	9.154062	2.8547814	23.200098	-0.39878446	2.0345052e-09	-0.0143590085	-2.8483074e-08	0.002351953	2.120386	-0.5660981	39.97646	-4.5896187	0	0	1.4007889	0.0	1.8148599	0.0093359165	210000	1581.3111188411713
7	6.2148066	3.6822646	17.593716	-0.79339147	11.015	12.085313	59.0	0.0	150.0	19285.0	0.08035416666666667	2.4455357	0.87620234	5.737487	0.19597037	8.720178	2.5670054	21.220129	-2.4704866	-4.0690105e-09	-0.01593797	4.4759116e-08	0.0046309573	3.1730015	-0.84514856	33.477455	-5.309101	0	0	1.2883095	0.0	1.8076558	0.00973931	240000	1781.1948552131653
8	7.9490857	3.8280852	19.135603	0.20612639	11.395	10.713963	52.0	0.0	150.0	21564.0	0.07986666666666667	3.4242837	0.9146679	6.324358	0.8973813	8.362657	2.2939887	18.377335	-1.1755952	1.1189779e-08	-0.014357999	0.0	0.0029209412	4.1695333	-1.2355688	25.085823	-3.261898	0	0	1.3971275	0.0	1.7875824	0.009692199	270000	1998.7090828418732
9	8.706956	3.8916714	18.584997	0.34267306	11.35	10.676024	62.0	0.0	150.0	23834.0	0.07944666666666667	4.419265	0.92849725	7.214364	1.5593176	8.117664	2.0162473	17.462778	-2.1627324	1.2207031e-08	-0.014045818	-1.1189779e-08	0.0066104042	3.59359	-0.6519811	21.793238	-2.6941013	0	0	1.4355752	0.0	1.742028	0.009740844	300000	2227.197757959366
