CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	0.09869428	0.0	300.0	0.015457648	0.19755279	0.042901944	-0.25571042	0.6339727	-0.29271552	1.5252776e-05	-0.29270262	-1.2906646e-05	-19.420021	300.0	6.35	90.93579959869385
2	1	3000	-18.758999	10.8	300.0	0.004403342	0.28208977	0.0070187366	-0.24440618	0.6339727	-0.32100618	1.3053762e-05	-0.32099512	-1.1059964e-05	-17.603828	275.05	7.6	180.32942509651184
2	2	4500	-19.410757	3.6	300.0	0.0012723851	0.2194935	0.0059033306	-0.21962951	0.6339727	-0.23596174	1.7106931e-05	-0.23594771	-1.4032748e-05	-20.135393	300.0	3.2	274.7047770023346
2	3	6000	-21.489502	3.0	300.0	0.00082744105	0.14837618	0.0068398765	-0.19074605	0.6339727	-0.1537629	2.2343995e-05	-0.1537454	-1.7500697e-05	-20.395264	300.0	5.25	368.8549110889435
2	4	7500	-20.200941	7.0	300.0	0.0005321713	0.056119505	0.006696631	-0.167169	0.6339727	-0.055970803	2.115929e-05	-0.05595485	-1.5955735e-05	-18.930836	300.0	5.0	461.2108030319214
2	5	9000	-20.017399	5.6	300.0	0.0006285728	-0.04151576	0.008048596	-0.13695635	0.6339727	0.044467267	2.9213197e-05	0.0444881	-2.0834292e-05	-18.467249	300.0	11.5	554.4543843269348
2	6	10500	-18.342518	9.8	300.0	0.00047729153	-0.13524942	0.012249653	-0.08402452	0.6339727	0.13852194	3.2274434e-05	0.138543	-2.1070273e-05	-19.763578	300.0	9.0	645.9493951797485
2	7	12000	-17.586052	5.4	300.0	0.0007191453	-0.20050544	0.009613674	-0.05250678	0.6339727	0.15383972	3.3278782e-05	0.15386008	-2.0357103e-05	-10.748698	294.6	12.65	737.0751655101776
2	8	13302	-5.443203	25.4	260.4	0.0021143511	-0.071742356	0.030493025	0.100199506	0.6339727	0.01374236	3.9320053e-05	0.01375962	-1.7259881e-05	1.7727568	283.1	73.25	821.7457590103149
2	9	14766	3.1705515	102.0	292.8	0.002106342	0.010726168	0.058213376	0.34044582	0.6339727	-0.08234884	4.3232238e-05	-0.08233805	-1.0794461e-05	3.165527	296.75	66.2	909.9978773593903
2	10	16266	3.2348583	58.8	300.0	0.001970169	0.09888907	0.06666072	0.57943165	0.6339727	-0.17019568	0.0014806078	-0.17031747	0.00012179073	3.881776	257.2	61.65	990.9118814468384
2	11	17437	4.0560083	68.2	234.2	0.0019372839	0.16371581	0.07083712	0.761525	0.6339727	-0.21833244	0.048053943	-0.22586787	0.007535442	4.560645	219.7	46.45	1060.201125383377
2	12	18410	5.156729	73.2	194.6	0.0018946963	0.20875996	0.08006071	0.945443	0.6339727	-0.21077818	0.17641795	-0.26493588	0.054157715	3.9442744	267.95	60.45	1137.3069190979004
2	13	19625	4.322627	28.6	243.0	0.0020965636	0.2541837	0.08148564	1.0671123	0.6339727	-0.16369691	0.37066373	-0.30379158	0.1400947	0.31595615	300.0	2.4	1223.4068043231964
2	14	21123	1.5004202	19.4	299.6	0.002399103	0.27867225	0.0738171	1.121543	0.6339727	-0.055075053	0.6440193	-0.319701	0.26462594	-0.792512	300.0	1.15	1312.5522377490997
2	15	22623	-2.7687147	7.6	300.0	0.0023258424	0.31271705	0.071407646	1.1526622	0.6339727	0.03993182	0.9505581	-0.3460451	0.38597694	-3.36608	300.0	0.8	1403.491439819336
2	16	24123	-3.337381	0.0	300.0	0.0022611555	0.33712366	0.062298927	1.1441772	0.6339727	0.12872523	1.2499187	-0.36347815	0.49220335	-1.4922093	300.0	1.2	1493.341177225113
2	17	25623	-1.8499088	0.0	300.0	0.0020900045	0.37545484	0.062367667	1.1680508	0.6339727	0.25756684	1.5534794	-0.3932275	0.6507943	-4.4115157	300.0	0.0	1582.9598865509033
2	18	27123	-4.5053535	0.0	300.0	0.0019241357	0.38395962	0.059009537	1.1434091	0.6339727	0.34146467	1.8578515	-0.39424205	0.73570675	-3.5147197	300.0	0.0	1672.420137166977
2	19	28623	-3.106151	1.6	300.0	0.0017157553	0.38939148	0.05417325	1.1278368	0.6339727	0.40585408	2.1476047	-0.39120486	0.79705894	-3.2386844	300.0	0.0	1762.9036767482758
2	20	30123	-2.714148	0.0	300.0	0.0016810715	0.3910479	0.04791133	1.0970384	0.6339727	0.4243007	2.407051	-0.388529	0.8128296	-3.1375053	300.0	0.0	1851.472098350525
2	21	31623	-2.246418	0.0	300.0	0.0016930726	0.39435056	0.048323028	1.0621926	0.6339727	0.4198531	2.6435227	-0.39006895	0.809922	-2.118895	300.0	0.0	1943.1806783676147
2	22	33123	-1.7266695	0.0	300.0	0.0016475124	0.38042074	0.040733293	0.96050227	0.6339727	0.2117258	2.8273973	-0.3756494	0.58737516	-2.1758475	300.0	0.0	2029.8039741516113
2	23	34623	-1.3454489	0.0	300.0	0.0015636416	0.35410446	0.03343332	0.7615814	0.6339727	-0.25168958	2.9040785	-0.35068822	0.098998696	-2.2511737	300.0	0.0	2117.831272125244
2	24	36123	-2.1621182	0.0	300.0	0.0014696029	0.310845	0.02445355	0.5331936	0.6339727	-0.80115056	2.8444679	-0.309614	-0.4915365	-1.5254607	300.0	0.0	2203.648875951767
2	25	37623	-1.2011645	0.0	300.0	0.0014221352	0.26604715	0.015610391	0.31444898	0.6339727	-1.2268642	2.642257	-0.2666134	-0.9602509	-0.90022755	300.0	0.0	2290.2756900787354
2	26	39123	-1.0051088	0.0	300.0	0.0013688944	0.22518386	0.0080487495	0.117678076	0.6339727	-1.4688592	2.3031383	-0.22842526	-1.240434	-0.71479636	300.0	0.0	2377.4756462574005
2	27	40623	-0.7366966	0.0	300.0	0.0012750372	0.2011934	0.0045423633	0.025674457	0.6339727	-1.3686789	1.8672698	-0.20939031	-1.1592886	-0.27734953	300.0	0.0	2463.3639402389526
2	28	42123	-0.51638	0.0	300.0	0.0010831236	0.20316258	0.0034148542	0.004385538	0.6339727	-1.1019406	1.3951898	-0.21433772	-0.88760304	-0.24315333	300.0	0.0	2548.8710634708405
2	29	43623	0.112333655	0.0	300.0	0.00089664303	0.2158253	0.0026952457	0.011932095	0.6339727	-0.805342	0.92137074	-0.22806439	-0.5772777	0.0127244	300.0	1.8	2634.739401578903
2	30	45123	-0.10991397	0.6	300.0	0.00068729295	0.22379963	0.0026794625	0.01389444	0.6339727	-0.5199117	0.45370603	-0.23879246	-0.2811192	2.26297	299.25	27.4	2724.612611055374
2	31	46586	3.0502236	66.0	292.6	0.0006283296	0.24947214	0.015074659	0.098964974	0.6339727	-0.30018377	0.06346407	-0.2662483	-0.033935476	2.2013388	294.0	32.05	2814.174149990082
2	32	48075	2.1989796	53.2	297.8	0.00059852295	0.28844294	0.02085229	0.20454542	0.63397276	-0.30613127	1.8859106e-05	-0.30612442	-6.874648e-06	2.4888597	280.8	40.45	2902.10928106308
2	33	49575	2.1975136	59.6	300.0	0.000530838	0.32408962	0.026032463	0.36864734	0.6339727	-0.34344226	2.4870425e-05	-0.34343788	-4.428349e-06	3.7358468	238.9	41.3	2981.473743915558
2	34	51075	2.4966826	38.4	300.0	0.00051854743	0.36090666	0.03730314	0.5743134	0.6339727	-0.3830164	0.0039719134	-0.38328755	0.00027106775	5.0693254	147.5	45.25	3041.800248861313
2	35	51649	4.9074163	34.0	114.8	0.0004939086	0.38875857	0.0465815	0.7070331	0.63397264	-0.4082111	0.039296154	-0.41395327	0.0057421685	4.9973125	130.25	26.35	3084.106649160385
2	36	52265	5.056271	15.4	123.2	0.0006090072	0.40512583	0.047778755	0.7736863	0.6339727	-0.4112198	0.09604018	-0.43190062	0.020680865	4.5183396	144.1	18.35	3130.286110162735
2	37	53163	4.6588993	12.2	179.6	0.00062504143	0.42832696	0.048422553	0.8863997	0.6339727	-0.38860294	0.20568916	-0.4562463	0.06764338	5.087892	104.25	23.1	3172.342981815338
2	38	53745	4.741598	10.6	116.4	0.0007479785	0.4553454	0.055886257	1.0029498	0.6339727	-0.34655654	0.34464967	-0.4800752	0.13351867	4.693362	153.5	26.1	3220.731107711792
2	39	54448	4.8524704	23.0	140.6	0.0009573582	0.475891	0.06633709	1.0574238	0.6339727	-0.3028042	0.46826044	-0.48822328	0.18541905	1.5289439	285.2	21.85	3294.146833896637
2	40	55734	1.6119833	46.8	257.2	0.0009478481	0.50268555	0.06379949	1.1262196	0.63397264	-0.20369896	0.68696344	-0.51080555	0.3071066	0.9610697	300.0	14.45	3381.429430246353
2	41	57234	0.5609532	3.2	300.0	0.0010530016	0.5388999	0.05913835	1.2105689	0.6339727	-0.029123848	1.0258093	-0.53901696	0.5098932	0.44771177	300.0	20.45	3469.6985862255096
2	42	58734	0.05381278	29.6	300.0	0.0009946013	0.55908614	0.056974374	1.2232631	0.6339727	0.13837934	1.3942463	-0.55597425	0.69435364	-0.07783174	300.0	6.8	3556.4608900547028
2	43	60234	0.2540874	2.8	300.0	0.0009291571	0.57651716	0.053492043	1.2367386	0.6339727	0.33097833	1.7749655	-0.57151806	0.90249646	0.17541817	300.0	4.1	3641.0380935668945
2	44	61734	-0.44386068	0.0	300.0	0.00090685807	0.5902288	0.05074582	1.218122	0.6339727	0.45133296	2.1439848	-0.58168286	1.0330157	-0.5700451	300.0	1.4	3728.7425837516785
2	45	63234	-0.6233923	0.0	300.0	0.00085080013	0.5993543	0.048331052	1.1552403	0.6339727	0.41865528	2.4713163	-0.5886339	1.0072892	-2.7718987	300.0	0.0	3818.507128715515
2	46	64734	-1.2606224	0.0	300.0	0.0008011624	0.59755087	0.048568543	1.1040378	0.6339727	0.3731424	2.7484536	-0.58615565	0.95929796	-1.6345392	300.0	0.4	3905.882470369339
2	47	66234	-1.5374357	0.0	300.0	0.00075252523	0.5890903	0.041395567	0.9324919	0.6339727	-0.022387806	2.9326363	-0.57973266	0.55734485	-0.8832266	300.0	0.0	3992.544268131256
2	48	67734	-0.71834743	0.0	300.0	0.0006572419	0.5874707	0.03827182	0.7852458	0.6339727	-0.40890497	3.0129483	-0.5793275	0.17042258	-2.2643619	300.0	0.75	4083.72843170166
2	49	69234	-2.4678211	0.0	300.0	0.00066909747	0.57379645	0.027726298	0.5189293	0.6339727	-1.1496571	2.9553626	-0.56902754	-0.58062965	-0.96382314	300.0	0.7	4178.987999916077
2	50	70734	-1.2657487	0.0	300.0	0.0006683887	0.56725675	0.02173264	0.36765078	0.6339727	-1.4934665	2.7547212	-0.5629164	-0.93055004	-0.80840796	300.0	0.3	4269.2176349163055
