Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
11	-0.3910629	1.0962288	4.354804	-2.7019143	11.295	11.040742	64.0	0.0	150.0	27917.0	0.07754722222222223	0.006950667	0.49756372	2.913499	-1.1217747	5.3583155	4.1480064	19.072592	-4.9722905	1.0172526e-08	0.0061462484	-1.0681152e-08	-0.019680653	0.14757907	-0.034991525	13.01714	-0.9022474	1.074188	0.0	0.0065511107	-0.20153742	0.06196667	0.007825761	-0.0047003496	0.017332818	0.0	1.074188	0.0	0.0	0.0	1.8444109	0.009894065	360000	2108.8002529144287
12	-0.09570289	1.8368531	13.951029	-3.0449793	9.925	9.275202	36.0	0.0	150.0	29902.0	0.07667179487179487	-0.1038278	0.47952452	1.7427442	-1.3499703	4.8852572	4.160652	20.26076	-3.4847672	0.0	0.004414001	1.8310548e-08	-0.018438475	0.32598108	-0.043432117	8.903758	-0.8132477	1.0945501	0.0	0.005795731	-0.14720824	0.052833334	0.0067327563	-0.0039550755	0.016693922	0.0	1.0945501	0.0	0.0	0.0	1.8527734	0.008602259	390000	2287.8840794563293
13	-0.50102144	1.6416408	9.554043	-3.5098722	8.655	8.75077	43.0	0.0	150.0	31633.0	0.07531666666666667	-0.1295584	0.55463	2.5564258	-1.3875054	3.7558546	3.9289458	17.899664	-4.729147	-1.1189779e-08	0.004161978	8.138021e-09	-0.01681302	0.33964926	-0.045338243	8.07004	-0.72229767	1.0056782	0.0	0.008662964	-0.07954096	0.044366665	0.009337354	-0.0036518385	0.019774783	0.0	1.0056782	0.0	0.0	1.0	1.8920542	0.006196474	420000	2457.062835454941
14	-0.7076013	2.009418	9.910182	-4.071458	8.01	7.892395	34.0	0.0	150.0	33235.0	0.07385555555555555	-0.22280511	0.50483805	1.9353992	-1.4280524	3.060572	4.0924253	17.974518	-5.1361065	7.1207684e-09	0.0068052127	1.2207031e-08	-0.018947627	0.4416121	-0.062358707	6.751005	-0.73955345	1.0582551	0.0	0.006160361	-0.06989125	0.040066667	0.008202451	-0.0060389573	0.017858667	0.0	1.0582551	0.0	0.0	0.0	1.900697	0.008921422	450000	2637.9678699970245
15	-1.3072481	1.6675003	8.519407	-4.140953	6.745	8.725249	41.0	0.0	150.0	34584.0	0.07205	-0.2789677	0.5477852	2.556158	-1.8914859	1.8676515	3.663273	17.895285	-4.593167	1.0172526e-08	0.006350138	7.1207684e-09	-0.018461348	0.42474037	-0.08296466	5.687831	-0.724421	0.97466797	0.0	0.0069627925	-0.027530622	0.031633332	0.00923869	-0.0069220476	0.021053117	0.0	0.97466797	0.0	0.0	1.0	1.9190829	0.0067880726	480000	2818.444025993347
16	-1.7814319	1.4695301	4.100334	-4.5323563	4.895	6.8157153	39.0	0.0	150.0	35563.0	0.06973137254901961	-0.41759533	0.583731	2.2757215	-2.24877	1.1258959	3.008419	18.204855	-4.8308473	-2.0345052e-08	0.006614217	-2.0345052e-09	-0.014821435	0.34142813	-0.07122284	5.165897	-1.1848936	1.166526	0.0	0.0052253366	-0.0053439187	0.0193	0.008220721	-0.006635088	0.014697411	0.0	1.166526	0.0	0.0	1.0	1.9286137	0.006382764	510000	2997.454420566559
17	-1.6432288	1.75091	4.589351	-4.756547	4.8	6.1408467	36.0	0.0	150.0	36523.0	0.06763518518518519	-0.51910764	0.63345116	1.6598333	-2.52991	0.6818612	2.2435286	15.781425	-4.4437523	-9.155274e-09	0.006995162	-2.0345052e-09	-0.014841874	0.33009186	-0.03425449	3.4589932	-0.3951013	1.3279704	0.0	0.0060695494	-0.010724212	0.018666668	0.009096487	-0.0058590635	0.011341039	0.0	1.3279704	0.0	0.0	0.0	1.939182	0.008269331	540000	3171.8751015663147
18	-2.0177531	1.8706686	9.057292	-5.457186	3.215	5.284768	35.0	0.0	150.0	37166.0	0.06520350877192982	-0.51233715	0.64852834	1.5022837	-2.7422485	0.42634523	1.8986659	15.12254	-3.6140053	2.5431315e-09	-0.0030359258	1.8310548e-08	-0.0064775483	0.39245084	-0.04477468	3.0802164	-0.6406555	1.2225195	0.0	0.004422896	0.011906198	0.008099999	0.0074738977	-0.004973131	0.008106202	0.60949033	1.2225195	1.0	0.0	1.0	1.9446847	0.008228245	570000	3347.4324884414673
19	-1.7896985	1.7362508	6.4916573	-4.615603	3.35	4.2728796	24.0	0.0	150.0	37836.0	0.06306	-0.6552744	0.66964066	1.5877037	-3.0249417	0.46691385	1.5324212	14.471557	-2.91889	1.7801921e-09	-0.003605118	-9.155274e-09	-0.008806249	0.3556449	-0.044721812	1.5808828	-0.22557366	1.6318724	0.0	0.0066662487	0.007804181	0.009	0.007622613	-0.0025202797	0.0066416194	0.92422366	1.6318724	1.0	0.0	0.0	1.9357285	0.008935385	600000	3533.00018286705
20	-2.1893663	1.4240578	2.8365312	-4.7245636	2.86	4.4057236	24.0	0.0	150.0	38408.0	0.06096507936507937	-0.5768604	0.66851693	1.7236388	-2.9490116	0.3016777	1.3152586	12.119459	-2.5423696	1.5767416e-08	-0.0058454485	9.409587e-09	-0.0065780007	0.26936662	-0.04488285	1.4191608	-0.20071173	1.1468647	0.0	0.0061667375	0.014898389	0.0057333326	0.008292522	-0.003700949	0.0064432784	0.643366	1.1468647	1.0	0.0	0.0	1.8990011	0.009301422	630000	3716.3440594673157
21	-1.8945118	1.8930663	9.7326975	-4.5855384	2.74	4.348839	26.0	0.0	150.0	38956.0	0.059024242424242424	-0.6432506	0.66226864	0.6665686	-3.1231375	0.34575897	1.2962617	12.558942	-2.4139469	7.1207684e-09	-0.008338648	-8.138021e-09	-0.006071518	0.43816978	-0.061828762	1.7246226	-0.24596453	0.8380258	0.0	0.0052859876	0.017286012	0.0049333335	0.007841312	-0.0047869566	0.008967531	0.55298793	0.8380258	1.0	0.0	0.0	1.8904977	0.009732167	660000	3896.622624397278
22	-1.6797905	1.6312037	4.3392596	-4.2582564	2.715	4.096801	29.0	0.0	150.0	39499.0	0.057244927536231886	-0.64655006	0.6439203	1.4558628	-3.014546	0.39305082	1.132114	10.676532	-1.4061553	-8.138021e-09	-0.009196368	-6.1035155e-09	-0.005842761	0.27020475	-0.03455791	1.3219032	-0.18551517	0.9229927	0.0	0.007748259	0.016579764	0.004766666	0.0089907665	-0.0028730035	0.006643139	0.68361706	0.9229927	1.0	0.0	0.0	1.8937402	0.008398856	690000	4074.6068675518036
23	-1.3410928	1.8414558	9.408418	-3.8715754	2.685	3.9071443	28.0	0.0	150.0	40036.0	0.055605555555555554	-0.6242102	0.64714015	1.5196364	-3.2126918	0.40333244	1.0658257	11.794916	-2.0279717	8.138021e-09	-0.008920289	-2.5431315e-09	-0.0040709246	0.3622518	-0.047377497	1.1500151	-0.18243372	0.9349283	0.0	0.006970912	0.016565533	0.004566666	0.008184511	-0.0027146088	0.006072106	0.6486973	0.9349283	1.0	0.0	0.0	1.9178424	0.00849439	720000	4254.927578687668
