CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
1	0	1500	0.524871	11.0	300.0	0.31917676	1.8323771	0.0701643	0.2237534	0.31698635	-2.468929	0.03223308	-2.4774306	0.008501595	-0.29900536	300.0	0.0	79.53202819824219
1	1	3000	-0.0628286	24.0	300.0	0.1823209	1.9644306	0.049896672	0.31305996	0.31698635	-2.4877622	0.12277956	-2.502481	0.014718446	-0.30192676	300.0	39.0	156.18659138679504
1	2	4500	0.11434194	50.6	300.0	0.13024476	2.2445555	0.06341798	0.48842686	0.31698635	-2.2672627	0.28476185	-2.354631	0.08736778	-0.30192676	300.0	39.0	233.3217921257019
1	3	6000	0.14465758	56.2	300.0	0.07228381	2.109345	0.064736575	0.73744947	0.31698635	-1.7295618	0.60582036	-2.0390456	0.3094839	-0.46672717	300.0	0.0	310.60765409469604
1	4	7500	0.10673632	5.2	300.0	0.063228436	2.2665339	0.06774193	1.0458041	0.31698635	-2.2652564	0.9584534	-2.7121737	0.44691724	-4.6001763	300.0	14.0	388.6641700267792
1	5	9000	-3.7859836	4.2	300.0	0.06570395	3.0717924	0.08347595	1.0237753	0.31698635	-2.818165	1.2793709	-3.3448908	0.526726	-2.8491101	300.0	16.0	464.19256925582886
1	6	10500	-2.83079	6.2	300.0	0.02184639	3.59178	0.053855903	0.98743176	0.31698635	-2.749728	1.7140738	-3.8720758	1.1223474	-2.5967064	300.0	15.0	535.8796842098236
1	7	12000	-2.8851714	14.6	300.0	0.010136948	3.857597	0.045315947	1.0830928	0.31698635	-2.3404849	2.235651	-3.95782	1.6173347	-1.8418844	300.0	33.0	612.1826951503754
1	8	13500	-1.9322472	28.0	300.0	0.0064847823	3.9292283	0.0474423	1.1627421	0.31698635	-1.6962577	2.816638	-3.960672	2.2644138	-0.8987872	300.0	38.0	686.0752635002136
1	9	15000	-1.3445469	35.4	300.0	0.0046828007	3.9221482	0.050883006	1.2348026	0.31698635	-0.9258485	3.4537706	-3.9292798	3.0034316	-0.9992468	300.0	55.0	760.3431489467621
1	10	16500	-0.6063816	35.4	300.0	0.0031440065	3.8748546	0.0499118	1.2716721	0.31698635	-0.19923134	4.1157355	-3.8794494	3.680218	-0.97797906	300.0	5.0	835.3854260444641
1	11	18000	-1.6728172	6.8	300.0	0.0024584976	3.8526654	0.04677439	1.2798948	0.31698635	0.50019175	4.7937217	-3.8603117	4.3605037	-1.5548396	300.0	9.0	911.309173822403
1	12	19500	-1.6280663	9.8	300.0	0.0020709967	3.819233	0.045826476	1.286003	0.31698635	1.2447623	5.4817677	-3.8228679	5.06763	-1.3195438	300.0	9.0	987.9945178031921
1	13	21000	-1.2027404	11.8	300.0	0.001493845	3.787731	0.044680495	1.3001442	0.31698635	2.0570288	6.1852436	-3.792474	5.8495026	1.3011897	300.0	20.0	1062.982233285904
1	14	22500	-0.08438827	16.4	300.0	0.0021247321	3.7656517	0.046435982	1.3373913	0.31698635	2.9337924	6.9092174	-3.7662935	6.7000856	-8.718138	300.0	18.0	1141.6856219768524
1	15	24000	-11.567584	15.4	300.0	0.00505309	3.7246754	0.04781436	1.3181081	0.31698635	3.4593315	7.6229334	-3.7255342	7.1848664	4.469725	300.0	14.0	1216.6952941417694
1	16	25500	-12.403136	15.0	300.0	0.0054605408	3.6718037	0.04713306	1.2686667	0.31698635	3.880144	8.312433	-3.6678076	7.547951	-5.8878336	300.0	7.0	1291.340565919876
1	17	27000	1.9144424	11.0	300.0	0.007535682	3.6090813	0.047015924	1.2354916	0.31698635	4.233197	8.978322	-3.5998042	7.833001	2.2962694	300.0	0.0	1366.253966331482
1	18	28500	-6.913874	3.0	300.0	0.009979778	3.5222342	0.044535242	1.2068167	0.31698635	4.610511	9.618248	-3.5154455	8.125957	-10.058351	300.0	0.0	1440.1803534030914
1	19	30000	5.2636614	10.0	300.0	0.013370174	3.4528868	0.0462226	1.1689345	0.31698635	4.7532325	10.232993	-3.4477742	8.201006	-13.107286	300.0	0.0	1515.7839829921722
1	20	31500	-4.4061375	2.4	300.0	0.012875521	3.373142	0.041623376	1.0910923	0.31698635	4.462748	10.797525	-3.370194	7.8329415	-9.230788	300.0	0.0	1593.0963292121887
1	21	33000	-1.4649004	0.0	300.0	0.011246033	3.3068213	0.03491848	0.9972867	0.31698635	3.8223424	11.295546	-3.308925	7.131267	-2.2683065	300.0	0.0	1670.5802597999573
1	22	34500	2.2195804	8.6	300.0	0.010798141	3.237729	0.030090524	0.9054599	0.31698635	3.1945083	11.729362	-3.2388673	6.433375	6.052208	300.0	11.0	1748.7815101146698
1	23	36000	-0.5577421	3.0	300.0	0.009632875	3.1781082	0.02520742	0.8058182	0.31698635	2.3717308	12.097716	-3.1822484	5.553979	1.8808485	300.0	9.0	1823.3773822784424
1	24	37500	3.919538	8.2	300.0	0.0103313215	3.1226788	0.022487389	0.7379172	0.31698635	1.8174058	12.413911	-3.1329262	4.950332	-3.7252183	300.0	0.0	1897.6984748840332
1	25	39000	-3.5655258	0.0	300.0	0.009262809	3.0761654	0.018838203	0.6963897	0.31698635	1.4597266	12.693242	-3.087703	4.547429	-3.9771779	300.0	0.0	1971.682847738266
1	26	40500	-6.488656	0.0	300.0	0.008047703	3.0269215	0.01844595	0.64666134	0.31698635	0.96642333	12.939323	-3.0332396	3.999663	8.6721945	300.0	28.0	2047.9479475021362
1	27	42000	0.16136059	15.8	300.0	0.008740948	2.9592013	0.022760998	0.638045	0.31698635	1.001298	13.167463	-2.9590874	3.9603853	-4.523282	300.0	17.0	2121.1801810264587
1	28	43500	-1.8672616	9.6	300.0	0.008956235	2.904414	0.02188042	0.5994214	0.31698635	0.63372064	13.375401	-2.9076831	3.5414038	6.678659	300.0	10.0	2193.6028254032135
1	29	45000	0.6792704	14.6	300.0	0.008332833	2.8793159	0.021533152	0.57533216	0.31698635	0.39305547	13.5619335	-2.8760133	3.2690687	4.515668	300.0	19.0	2270.9864645004272
