CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	-0.6828166	8.2	300.0	0.07071994	-0.63056403	-0.63069487	0.03888565	0.20965081	0.6339727	0.62974685	-0.18838474	8.919425e-05	0.62974215	4.7053704e-06	-0.3127253	300.0	14.7	129.37660384178162
2	1	3000	-0.009699225	5.6	300.0	0.009056134	-0.56845325	-0.5685539	0.013361891	0.28170884	0.6339727	0.57178766	-0.5487296	1.5813366e-05	0.5717927	-5.041697e-06	2.0231636	300.0	43.9	275.99422907829285
2	2	4500	1.3448589	74.6	300.0	0.0046917205	-0.56624013	-0.5663199	0.03301714	0.4962599	0.6339727	0.56905174	-0.7501744	4.904084e-05	0.5690543	-2.4842254e-06	2.021197	300.0	43.6	391.5514199733734
2	3	6000	1.7362835	33.6	300.0	0.0034223215	-0.55248916	-0.5523325	0.04103024	0.6702478	0.6339727	0.5549936	-0.8485628	0.014180015	0.5536732	0.0013204266	2.0078747	300.0	66.05	533.5222222805023
2	4	7500	1.7748379	59.6	300.0	0.0030158025	-0.54899675	-0.54902303	0.054507717	0.8226193	0.6339727	0.5712002	-0.88731617	0.112287864	0.55032057	0.020879723	0.9775856	300.0	28.45	646.2213613986969
2	5	9000	0.812115	60.2	300.0	0.0027570706	-0.5411589	-0.54114586	0.06513728	0.9072847	0.6339727	0.60782224	-0.65788627	0.26890165	0.54775834	0.060063913	1.2915962	300.0	40.55	790.7531468868256
2	6	10500	1.3376248	31.2	300.0	0.0029863648	-0.5469811	-0.5469637	0.06117553	0.89916396	0.6339727	0.6360079	-0.27317005	0.41550547	0.5608327	0.07517515	1.2179691	300.0	55.35	914.9057836532593
2	7	12000	1.1772928	48.8	300.0	0.0038947705	-0.56509805	-0.565174	0.06446321	0.9139703	0.6339727	0.68225193	0.03782456	0.5502905	0.5825912	0.09966077	0.7779528	300.0	37.95	1052.4970381259918
2	8	13500	0.49943048	60.0	300.0	0.002982533	-0.5769203	-0.5768776	0.06449454	0.90191334	0.6339727	0.7061996	0.30645	0.6771112	0.5958218	0.11037776	0.44384462	300.0	16.8	1185.7016315460205
2	9	15000	0.7439023	13.8	300.0	0.003344515	-0.5819006	-0.5818727	0.060853302	0.8715393	0.6339727	0.7030934	0.5607604	0.7822658	0.60364443	0.0994489	-0.067277774	300.0	12.05	1314.7911365032196
2	10	16500	0.9052957	46.8	300.0	0.0030344885	-0.59359413	-0.5935597	0.06434021	0.86111456	0.6339727	0.71350753	0.7339658	0.8710853	0.615809	0.09769849	0.14368208	300.0	9.8	1458.486279964447
2	11	18000	0.31179285	2.8	300.0	0.0031625652	-0.6021087	-0.6021108	0.0624086	0.80235535	0.6339727	0.67000926	0.8174265	0.9257185	0.62453765	0.045471534	0.14643323	300.0	7.4	1585.3845221996307
2	12	19500	0.23892839	6.6	300.0	0.0033312566	-0.60313743	-0.60310805	0.060517024	0.7389427	0.6339727	0.6132754	0.7989926	0.93340456	0.6252312	-0.011955801	-0.12396152	300.0	0.95	1729.5161402225494
2	13	21000	0.09236622	0.0	300.0	0.0033539778	-0.6128233	-0.6128032	0.05715244	0.714944	0.6339727	0.5968057	0.8089267	0.9141648	0.63446957	-0.037663832	0.3011958	300.0	3.75	1851.732766866684
2	14	22500	-0.052674316	0.0	300.0	0.0030426956	-0.6238574	-0.6238671	0.054895796	0.6882788	0.6339727	0.5826455	0.82033384	0.8703208	0.64571303	-0.063067645	0.41564983	300.0	14.15	1994.7919697761536
2	15	24000	0.22694075	0.0	300.0	0.0028794107	-0.6078373	-0.6079091	0.05083177	0.55143625	0.6339727	0.47676617	0.55343765	0.76905686	0.62546694	-0.14870074	0.779868	298.1	17.05	2117.5867743492126
2	16	25500	0.33323923	9.0	300.0	0.002434118	-0.6050627	-0.60502434	0.046962332	0.52154946	0.6339727	0.48391765	0.27020496	0.61447644	0.61803246	-0.13411473	1.457769	297.9	23.8	2259.8928985595703
2	17	27000	1.3181235	5.8	300.0	0.0022084503	-0.5894359	-0.58941185	0.04597342	0.46046948	0.6339727	0.48333734	-0.05330518	0.43278635	0.5970197	-0.11368232	1.0997502	293.8	10.1	2379.589832544327
2	18	28500	1.1101081	38.8	300.0	0.0018405844	-0.5684691	-0.5684566	0.05216992	0.43909645	0.6339727	0.5079538	-0.43703353	0.23374712	0.56896836	-0.061014548	1.9828724	279.9	72.35	2522.4735040664673
2	19	30000	1.7089548	12.2	300.0	0.0014854175	-0.5540017	-0.55402786	0.061533835	0.49271634	0.6339727	0.5364837	-0.69017977	0.066147976	0.54924035	-0.012756679	2.9776223	283.8	50.65	2641.647626399994
2	20	31500	2.3874211	38.2	300.0	0.0013091668	-0.5301844	-0.5301982	0.070877716	0.5370183	0.6339727	0.5215909	-0.71559143	0.0010913186	0.52156425	2.6632726e-05	3.4318027	285.4	58.8	2788.8416500091553
2	21	32863	3.5634964	42.6	272.6	0.0013570342	-0.5151985	-0.51524997	0.0836063	0.66197354	0.6339727	0.50810486	-0.7235529	0.0202772	0.5063451	0.0017597836	4.6147723	204.25	37.4	2889.7674889564514
2	22	34327	3.6064382	73.2	292.8	0.0014295316	-0.49571988	-0.49564865	0.07615005	0.6853253	0.6339727	0.49157345	-0.73118174	0.063383445	0.48684856	0.0047248886	4.548461	195.95	30.3	3014.1556622982025
2	23	35571	4.696316	64.8	248.8	0.0021750405	-0.48906666	-0.4891624	0.0748205	0.78576446	0.6339727	0.5024002	-0.6906202	0.13707882	0.48320213	0.019198045	3.3816898	202.05	45.85	3101.8962485790253
2	24	36943	2.1497731	19.2	274.4	0.0020465162	-0.4838617	-0.4838479	0.0661923	0.7843004	0.6339727	0.5066503	-0.5993234	0.21843763	0.4811634	0.025486933	1.4489815	267.45	35.35	3242.565060853958
2	25	38443	1.3051203	8.8	300.0	0.001974218	-0.47276402	-0.47275093	0.055531908	0.8059909	0.6339727	0.5087432	-0.47210693	0.299855	0.4743001	0.034443203	0.6899024	300.0	43.2	3366.0644664764404
2	26	39943	0.63936275	14.4	300.0	0.0019877942	-0.46765932	-0.46760666	0.049397107	0.8089423	0.6339727	0.51137155	-0.3206509	0.38047132	0.47233576	0.039035812	0.52785313	300.0	14.8	3508.829329967499
2	27	41443	0.5692914	9.0	300.0	0.002138236	-0.47162417	-0.47165558	0.047310684	0.8059569	0.6339727	0.5156731	-0.116406344	0.44718534	0.47973877	0.03593428	0.5893772	300.0	26.5	3643.5454936027527
2	28	42943	0.15000837	23.6	300.0	0.00221697	-0.46884468	-0.46878365	0.05151201	0.80182946	0.6339727	0.5137566	0.029153522	0.50140786	0.47833064	0.035425983	0.9052768	300.0	21.45	3776.401660680771
2	29	44443	0.93795264	12.0	300.0	0.0022057428	-0.47054958	-0.47059947	0.048271652	0.7635509	0.6339727	0.4927647	0.13677071	0.5320154	0.48168725	0.0110774785	0.66662496	300.0	21.25	3911.3179800510406
2	30	45943	0.56381524	8.6	300.0	0.0021715579	-0.46624988	-0.466244	0.050475728	0.72802925	0.6339727	0.4667345	0.2230837	0.531114	0.47834545	-0.01161099	1.2880278	300.0	77.55	4049.9176275730133
2	31	47443	1.0883672	9.0	300.0	0.002060135	-0.4597925	-0.45977756	0.050399695	0.67651886	0.6339727	0.4350887	0.18983358	0.49172252	0.47034577	-0.03525709	1.3341639	289.85	28.5	4192.190779924393
2	32	48943	1.0855608	26.2	300.0	0.0019403888	-0.44988832	-0.44990027	0.05241507	0.6059417	0.6339727	0.40209773	0.06785409	0.41479027	0.45787638	-0.055778626	2.0170164	295.7	37.0	4311.739320516586
2	33	50374	2.188035	34.0	286.2	0.0020647869	-0.43672994	-0.43672395	0.060394954	0.6087391	0.6339727	0.4025978	-0.11475289	0.31747937	0.4416616	-0.039063856	1.9768641	275.35	29.1	4456.328826904297
2	34	51874	1.3258231	14.8	300.0	0.0017837065	-0.41788003	-0.41785914	0.056750055	0.59822726	0.6339727	0.39244807	-0.33028036	0.22957733	0.4192746	-0.026826546	3.0513406	265.95	36.0	4569.2409324646
2	35	53374	1.8424534	41.4	300.0	0.0015900743	-0.3930113	-0.3930203	0.063348375	0.59239095	0.6339727	0.37626997	-0.54036593	0.14693622	0.39050183	-0.014231897	3.079905	228.85	28.35	4699.862075805664
