CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
1	0	1500	0.88007987	12.2	300.0	0.12615705	-0.6832596	-0.68361	0.06219825	0.6717263	0.31698635	0.72076577	1.4626832	0.15690486	0.6731041	0.04766162	-0.3586254	300.0	46.0	97.03111147880554
1	1	3000	-0.021152401	54.8	300.0	0.0098935	-0.65497136	-0.65494704	0.07481169	0.7444347	0.31698635	0.83109707	1.4533124	0.4185012	0.66998714	0.16111001	-3.9246726	300.0	4.0	237.78242588043213
1	2	4500	-7.4834642	5.4	300.0	0.0050514066	-0.689163	-0.689112	0.04568071	0.69628114	0.31698635	0.92087317	1.2755156	0.6747989	0.7030687	0.2178045	-2.5333216	300.0	0.0	375.40004873275757
1	3	6000	-6.960248	0.0	300.0	0.006717976	-0.7187601	-0.71868134	0.03449597	0.61747086	0.31698635	0.9325913	1.1620868	0.87519014	0.73591393	0.19667734	-9.721225	300.0	0.0	516.7145175933838
1	4	7500	0.95193803	0.0	300.0	0.008809769	-0.7437496	-0.74385303	0.02943477	0.53796095	0.31698635	0.9118847	1.0263829	1.0081775	0.7621784	0.14970629	-0.14713475	300.0	6.0	653.5539977550507
1	5	9000	-2.971921	2.8	300.0	0.007182224	-0.75308627	-0.7529901	0.026592257	0.44377387	0.31698635	0.83144313	0.9458581	1.077565	0.768391	0.063052185	-6.0848603	300.0	7.0	777.776654958725
1	6	10500	-2.4829612	3.8	300.0	0.006155324	-0.7668195	-0.76685464	0.022585649	0.36935478	0.31698635	0.7712428	0.65412307	1.0895663	0.7810564	-0.009813563	0.1985964	300.0	0.0	893.1276857852936
1	7	12000	-1.158397	5.0	300.0	0.0055323895	-0.7684603	-0.76847076	0.020471435	0.29708895	0.31698635	0.7005099	0.48464563	1.0569078	0.7777057	-0.07719588	0.141752	300.0	0.0	971.646381855011
1	8	13500	0.80307615	2.6	300.0	0.0073852185	-0.7590369	-0.75901115	0.02013902	0.2668617	0.31698635	0.66821665	0.266056	0.9928519	0.7632871	-0.09507045	-10.893126	300.0	0.0	1041.2455759048462
1	9	15000	-1.7246053	2.6	300.0	0.0056355707	-0.74990726	-0.74988186	0.01905027	0.23133875	0.31698635	0.6381018	0.09193678	0.9112871	0.74926734	-0.11116555	4.4954047	300.0	0.0	1112.917682647705
