Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-1.8406605	2.590549	5.542101	-8.422362	15.29	13.847234	51.0	0.0	300.0	1529.0	0.05096666666666667	-0.4114252	0.08657513	0.11026209	-0.8398926	-0.037841044	0.09826052	0.45535797	-0.43264678	2.5431316e-08	-0.009368139	-7.73112e-08	0.0032603678	1.8546362	-0.7780583	43.67755	-24.912062	0	0	2.2213292	0.0	1.837877	0.008501276	30000	171.92731475830078
1	-0.439835	2.840273	6.4347878	-7.1031127	21.07	23.143145	103.0	0.0	300.0	3636.0	0.0606	-0.49953148	0.8252998	1.9712442	-3.1052976	4.1620803	3.605605	13.3975315	-2.449787	-9.155274e-09	-0.014482775	3.2552084e-08	0.01877326	1.0819921	-0.35349077	44.08874	-11.266407	0	0	1.4175522	0.0	1.8679134	0.008733781	60000	342.6621124744415
2	0.8969278	2.8450706	10.813622	-4.657088	29.26	26.39493	145.0	0.0	300.0	6562.0	0.07291111111111111	-0.10693181	0.81311685	1.7465467	-3.3454106	7.6645555	5.5512333	20.96687	-2.954135	-3.2552084e-08	-0.014859576	6.9173176e-08	0.0071706367	0.9739273	-0.2065562	71.19532	-11.446438	0	0	1.3921609	0.0	1.853864	0.008926273	90000	490.2015173435211
3	2.3272872	2.5688584	8.30044	-3.5752754	34.88	27.741766	158.0	0.0	300.0	10050.0	0.08375	0.36516795	0.6862333	2.236597	-2.2558012	11.767094	5.0140443	23.681501	-1.7197499	-2.4414062e-08	-0.013768991	3.2552084e-08	0.014367538	0.77365786	-0.22340512	87.917435	-12.454048	0	0	1.4714711	0.0	1.84515	0.0090979	120000	658.4845852851868
4	3.4429924	2.4696002	11.719026	-2.4480095	36.78	28.367437	134.0	0.0	300.0	13728.0	0.09152	0.8076307	0.6003718	2.6433687	-1.2050546	13.080851	4.9291306	29.197018	-1.8260276	-4.0690104e-08	-0.014150655	8.138021e-09	-0.005106323	0.72035694	-0.15167576	90.5024	-10.83567	0	0	1.461311	0.0	1.8360574	0.009196022	150000	840.2084290981293
5	4.8540425	2.2969553	9.929432	-1.7820729	35.46	24.875858	114.0	0.0	300.0	17274.0	0.09596666666666667	1.2294655	0.47114396	2.4364371	-0.725307	13.654417	4.895226	33.08531	-5.091676	2.2379558e-08	-0.0124242725	4.0690105e-09	-0.004919861	0.68502605	-0.19041258	72.74739	-9.498291	0	0	1.6592215	0.0	1.8263593	0.009524369	180000	1002.154899597168
6	5.22421	2.1365461	10.750763	-1.7930801	36.39	23.128292	139.0	0.0	300.0	20913.0	0.09958571428571429	1.5799403	0.4560221	3.1358407	-0.17107873	13.048423	4.4919076	33.991146	0.59260243	1.4241537e-08	-0.011606868	2.0345052e-08	0.006089392	0.5750116	-0.092728764	67.20223	-9.734196	0	0	1.7888691	0.0	1.8133938	0.00884507	210000	1166.82808303833
7	6.0247626	2.61935	11.988931	-0.45683464	38.8	24.804031	147.0	0.0	300.0	24793.0	0.10330416666666667	1.7544388	0.5010317	3.2487113	0.032790095	13.132608	3.7471192	32.83179	2.3187099	5.086263e-09	-0.011740658	3.2552084e-08	-0.008162224	0.74898624	-0.15855098	68.77055	-9.1231575	0	0	1.7697247	0.0	1.7921715	0.009070438	240000	1336.527634859085
8	6.907848	2.025758	11.648425	0.599916	34.57	21.165186	103.0	0.0	300.0	28250.0	0.10462962962962963	2.0935988	0.5183644	3.4511735	0.44715303	13.815282	4.5337834	34.658142	-0.6725182	-1.2207031e-08	-0.011139681	-1.6276042e-08	-0.006852718	0.6532202	-0.16197592	59.91802	-9.735176	0	0	1.8388771	0.0	1.7680047	0.009535924	270000	1500.1569328308105
9	7.9799695	2.2717483	13.108156	1.3224783	30.47	19.557838	86.0	0.0	300.0	31297.0	0.10432333333333334	2.3464112	0.4585335	3.5012238	0.37664124	12.936498	3.9191763	33.884575	-0.67200226	9.155274e-09	-0.009738375	-4.0690104e-08	0.0028418743	0.6703526	-0.1594252	49.099133	-8.80867	0	0	2.0310984	0.0	1.7400436	0.009191703	300000	1660.3935697078705
10	8.108657	2.2874172	14.089889	0.9617337	33.82	18.888823	89.0	0.0	300.0	34679.0	0.10508787878787879	2.644311	0.5318305	3.9288108	0.7550426	11.914703	3.4264104	27.937544	4.2861814	6.1035155e-09	-0.011119256	-4.0690105e-09	-0.006707454	0.5744354	-0.06727356	44.477135	-5.0943756	0	0	1.8108877	0.0	1.7014234	0.00927625	330000	1820.7119193077087
11	8.722163	2.260543	15.56961	3.0414255	32.19	16.66535	77.0	0.0	300.0	37898.0	0.10527222222222223	2.7206552	0.5162503	4.047628	0.13371658	12.042201	3.4007308	30.881752	6.6093597	6.1035155e-09	-0.01102782	-2.0345052e-08	-0.00028375653	0.5714126	-0.11312199	42.60292	-5.396061	0	0	1.8662947	0.0	1.677287	0.009510463	360000	1991.523184299469
12	9.109409	2.2698457	14.957499	1.7312751	31.77	19.094948	80.0	0.0	300.0	41075.0	0.10532051282051282	2.9444537	0.51437056	4.32004	0.7863169	12.081074	3.0402966	31.744493	5.863508	-4.577637e-09	-0.010036964	-8.138021e-09	-0.0005849365	0.5969509	-0.07543534	40.286243	-6.418461	0	0	1.9326199	0.0	1.6596609	0.00908149	390000	2158.4059851169586
13	9.967869	2.6534781	15.732436	-0.7437406	33.7	17.85469	106.0	0.0	300.0	44445.0	0.10582142857142857	3.103537	0.54401165	4.268443	0.7380168	11.654622	3.6662538	34.649044	6.2038803	8.138021e-09	-0.0101326825	2.6448568e-08	-0.0046778605	0.659031	-0.10216695	39.84775	-5.1895447	0	0	1.9785397	0.0	1.6076835	0.009214034	420000	2314.8059430122375
14	9.878685	2.3346076	14.852402	3.2310405	32.2	18.546696	90.0	0.0	300.0	47665.0	0.10592222222222222	3.2894328	0.60562277	4.6020737	0.90322024	12.025165	3.121788	27.082998	5.382507	1.1189779e-08	-0.009368473	-1.6276042e-08	-0.0010891195	0.5726078	-0.07417631	38.758743	-5.4220886	0	0	2.1269207	0.0	1.563175	0.009297333	450000	2494.3462986946106
15	10.35477	2.1185575	16.261034	4.430993	31.45	16.482338	90.0	0.0	300.0	50810.0	0.10585416666666667	3.379236	0.5548927	4.4988403	0.7425542	11.613409	3.2252383	30.349512	2.5713305	1.8310548e-08	-0.009082482	4.0690104e-08	0.00091569417	0.53125703	-0.076479614	31.92439	-5.914562	0	0	2.2452552	0.0	1.5245332	0.00892517	480000	2655.5875103473663
16	10.773701	2.1331713	15.156598	3.6136441	29.37	16.914879	89.0	0.0	300.0	53747.0	0.10538627450980392	3.571139	0.5209693	4.6772923	0.6184602	11.110793	2.857306	30.940884	1.9957055	-2.0345052e-09	-0.008246551	2.8483074e-08	-0.0029415893	0.49544045	-0.061374217	30.724043	-4.842102	0	0	2.3789015	0.0	1.4880106	0.009158303	510000	2814.6613590717316
17	10.942358	2.415937	15.945669	0.30435383	34.68	17.37405	101.0	0.0	300.0	57215.0	0.1059537037037037	3.6988509	0.5382873	4.900616	0.8850128	10.587336	2.7720406	29.918629	3.717707	-1.0172526e-09	-0.009431574	0.0	-0.0008998698	0.54135615	-0.0628303	38.435154	-6.3371277	0	0	2.1128235	0.0	1.4260349	0.009405549	540000	2979.4946296215057
18	11.483413	2.2674298	16.268867	4.7847815	31.44	17.012537	78.0	4.0	300.0	60359.0	0.10589298245614034	3.7289195	0.5530938	4.9368467	0.86074734	11.5733795	3.2376642	31.732494	4.7803264	-1.5767416e-08	-0.008223646	7.93457e-08	-0.0042144796	0.52004224	-0.094881356	34.841534	-6.3136463	0	0	2.4816039	0.0	1.3932688	0.009547821	570000	3146.871546268463
19	11.760678	1.909621	15.67424	5.3095107	28.76	16.27398	105.0	0.0	300.0	63235.0	0.10539166666666666	3.951863	0.50013167	4.923116	1.5161628	10.974384	3.1176207	31.136086	4.696383	2.0345052e-09	-0.009171842	3.2552084e-08	-0.008832764	0.44886896	-0.061020583	31.580149	-5.0523033	0	0	2.1873324	0.0	1.3696027	0.009082992	600000	3324.3272454738617
20	11.606018	2.2425716	17.62915	2.6431935	32.09	15.19085	77.0	0.0	300.0	66444.0	0.10546666666666667	4.009007	0.51338893	5.112349	1.5628426	10.913232	3.1053689	33.209084	4.6177735	-1.0172526e-08	-0.009836501	2.6448568e-08	-0.0012632578	0.5453115	-0.06740171	27.195957	-5.4642067	0	0	1.9786953	0.0	1.3367397	0.009091014	630000	3486.8873178958893
21	11.942967	2.036965	17.020638	5.5744777	29.51	12.87439	67.0	0.0	300.0	69395.0	0.1051439393939394	3.9702687	0.50801796	5.283552	0.85217005	11.426754	3.1601112	30.92378	5.388418	-1.5258789e-09	-0.0082435375	-2.8483074e-08	-0.0069560464	0.48115572	-0.060675383	26.14718	-5.117876	0	0	2.3671045	0.0	1.2977775	0.009423051	660000	3650.5057015419006
22	11.818258	1.8936235	16.707212	3.6169927	29.23	15.778375	74.0	2.0	300.0	72318.0	0.10480869565217392	4.06263	0.47865102	5.3445034	1.693533	10.343813	2.6594956	27.568285	3.7249024	1.2207031e-08	-0.009606228	1.8310548e-08	0.0007318176	0.41260457	-0.041443378	28.578146	-4.820574	0	0	2.0882485	0.0	1.260771	0.009465568	690000	3812.203962802887
23	12.504063	2.1356466	17.006445	2.4970148	31.19	15.432884	75.0	0.0	300.0	75437.0	0.10477361111111111	4.115069	0.49503085	5.1945157	1.1944065	10.539848	3.1716726	31.52978	4.647131	6.1035155e-09	-0.0075024515	-1.6276042e-08	-0.003186027	0.47033346	-0.07868865	27.699287	-4.649021	0	0	2.5799708	0.0	1.218378	0.009274423	720000	3969.89298415184
24	12.348729	2.3688397	17.291212	3.6394088	30.75	16.141483	76.0	4.0	300.0	78512.0	0.10468266666666666	4.2010503	0.51853085	5.5229735	1.5041572	10.8808565	3.1245737	31.934193	4.6892567	6.1035155e-09	-0.0072081317	-3.2552084e-08	-0.0048361816	0.58084285	-0.10096648	30.505613	-5.886917	0	0	2.788884	0.0	1.1855159	0.009601835	750000	4146.919093132019
25	12.47358	2.0099857	18.084297	7.1571164	30.84	14.317625	70.0	0.0	300.0	81596.0	0.10461025641025641	4.2354627	0.50742537	5.383247	0.8683536	10.871847	3.0229075	31.10568	4.6387906	-2.7974447e-09	-0.008074017	-4.0690105e-09	-0.003406425	0.49505156	-0.07208124	24.254562	-4.253725	0	0	2.4542723	0.0	1.1827041	0.0093144225	780000	4324.863789558411
26	12.469946	2.05616	16.392567	3.7274144	28.11	14.603352	72.0	0.0	300.0	84407.0	0.10420617283950617	4.24845	0.528437	5.451988	1.352619	10.8056965	3.0650198	35.934055	4.8948274	-9.155274e-09	-0.007937381	4.4759116e-08	0.0011910889	0.47433522	-0.0614475	26.035707	-5.351223	0	0	2.5315988	0.0	1.1408393	0.009493697	810000	4486.19544839859
