Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.008334842	1.4531862	4.4707084	-3.368962	23.89	27.780891	105.0	0.0	300.0	2389.0	0.07963333333333333	0.72875136	0.11943783	1.2657173	0.28718236	-0.53406703	0.08497621	-0.18151401	-0.924186	-2.2379558e-08	0.016509527	-8.138021e-09	0.0021108603	0.47341394	-0.3021284	102.39047	-51.69055	0	0	1.0	1.837877	0.025173083	30000	117.92213439941406
1	0.4486412	1.8059394	5.945461	-2.3916156	25.81	23.163202	102.0	0.0	300.0	4970.0	0.08283333333333333	0.26779014	0.23203745	1.0049589	-0.38034105	5.0070653	4.644912	16.425623	-5.033206	1.2207031e-08	0.1039084	8.748373e-08	-0.0007828756	0.25063726	-0.03602302	43.536716	-6.338314	0	0	1.0	1.8383675	0.173346	60000	250.8410165309906
2	0.3221156	1.1484017	3.5002995	-1.6244777	28.83	31.431213	96.0	0.0	300.0	7853.0	0.08725555555555556	0.24616446	0.36949652	1.2576176	-0.47380197	8.581671	5.3007393	19.928854	-3.3916383	2.0345052e-09	-0.0065872273	3.2552084e-08	0.0017379394	0.12477283	-0.037026316	72.19833	-5.7463455	0	0	79.0	1.8387456	0.00467494	90000	391.7143363952637
3	0.89532167	1.6654116	6.961154	-1.9649787	31.4	32.353363	134.0	0.0	300.0	10993.0	0.09160833333333333	0.20425817	0.24144219	0.90724474	-0.19629218	9.979494	4.9862456	22.890402	-1.5150206	2.0345052e-09	0.0024944497	2.4414062e-08	0.0023574545	0.16083047	-0.03570576	78.6706	-4.744339	0	0	2.0	1.8346124	0.007300629	120000	533.6084561347961
4	0.7293356	1.3342879	4.920688	-1.3668706	28.36	28.376936	107.0	0.0	300.0	13829.0	0.09219333333333334	0.31238812	0.3462122	1.5314021	-0.46520197	11.306008	5.433316	27.78877	-4.4498525	-6.1035155e-09	0.0026283548	4.2724608e-08	-6.202596e-05	0.10639054	-0.0055360347	67.91758	-5.709278	0	0	1.0	1.8347852	0.010598574	150000	653.9181060791016
5	1.051783	1.5558116	4.1696935	-1.9540553	25.52	26.495089	97.0	0.0	300.0	16381.0	0.09100555555555556	0.38051406	0.3258687	1.5080667	-0.35952723	9.401174	4.3733764	26.43003	-3.2005823	4.0690105e-09	0.004108077	4.0690104e-08	-1.3517252e-05	0.13234085	-0.0062855035	62.45166	-5.7783966	0	0	1.0	1.8350275	0.01655189	180000	809.2840964794159
6	1.4607222	1.5281736	5.344448	-1.7577206	29.74	28.796743	135.0	0.0	300.0	19355.0	0.09216666666666666	0.40808013	0.33966336	1.6505883	-0.3346423	9.624843	4.6393204	26.86641	-2.842275	6.1035155e-09	-0.0021130086	9.765625e-08	0.00055795896	0.16200322	-0.018394336	61.739334	-8.275871	0	0	1.0	1.8356214	0.00045444505	210000	932.3671984672546
7	1.3406242	1.6000237	7.0825176	-1.5604815	35.8	29.9219	137.0	0.0	300.0	22935.0	0.0955625	0.5151563	0.38254023	1.9128405	-0.33275557	10.930404	5.684801	32.140266	-3.564613	-1.4241537e-08	-0.0032654172	6.306966e-08	0.0021235717	0.15528564	-0.0072073936	69.85055	-7.6974983	0	0	1.0	1.8362994	0.001568176	240000	1091.842117547989
8	2.103476	1.5835165	5.933917	-1.2697731	32.05	25.120659	121.0	0.0	300.0	26140.0	0.09681481481481481	0.6062125	0.3931085	1.9941691	-0.39162716	11.526944	5.7698007	31.765728	-1.4779983	-5.086263e-09	-0.009459553	-8.138021e-08	0.0046153893	0.2050496	-0.029629484	50.560932	-6.0216103	0	0	79.0	1.836762	0.006491046	270000	1236.5780692100525
9	3.0717416	1.682974	7.258125	-1.6289668	28.06	22.042604	87.0	0.0	300.0	28946.0	0.09648666666666667	0.8049453	0.4203897	2.0842824	-0.18697463	11.651871	5.4012914	33.784286	-0.5251574	-4.0690105e-09	0.004854649	3.6621095e-08	-0.0035075967	0.29298946	-0.06589386	45.133125	-6.250908	0	0	6.0	1.8234675	0.009847559	300000	1369.2155101299286
10	2.9149668	1.5574312	6.6956077	-0.34632826	33.2	22.460632	87.0	0.0	300.0	32266.0	0.09777575757575757	1.003754	0.39917427	2.2277288	-0.022605758	11.080732	4.69815	31.500841	0.7651308	-1.3224284e-08	-0.003184729	8.138021e-09	0.0034295653	0.17331953	-0.013518602	53.73446	-6.157814	0	0	1.0	1.8229761	0.0064184247	330000	1510.8841502666473
11	3.4879525	1.7576623	8.932179	-0.37739223	26.77	24.719164	114.0	0.0	300.0	34943.0	0.0970638888888889	1.090078	0.4042494	2.2291768	0.003270777	10.358556	4.756906	33.98123	0.88075465	2.6448568e-08	0.0005619924	3.4586588e-08	-0.0007348287	0.22076368	-0.023742065	48.915222	-6.389332	0	0	1.0	1.8226728	0.014374451	360000	1644.3793501853943
12	3.5414102	1.7554823	7.8489265	-0.21304633	28.81	18.519016	96.0	0.0	300.0	37824.0	0.09698461538461539	1.2568856	0.4645609	2.4572804	0.103757486	9.3500395	4.6296387	30.60334	0.9913832	-7.629395e-09	-0.001517898	3.4586588e-08	0.00026690878	0.30404595	-0.030343682	36.016	-4.866312	0	0	3.0	1.8226058	0.0014894262	390000	1782.7934563159943
13	3.7498732	1.8359408	8.194335	-0.12554114	32.27	19.727571	105.0	0.0	300.0	41051.0	0.0977404761904762	1.3042629	0.41792637	2.560544	0.23524334	10.41869	4.2895164	30.15909	2.5656402	5.086263e-10	-0.00221288	0.0	0.0010782063	0.2900982	-0.030498147	38.04875	-4.9696846	0	0	1.0	1.8220234	0.0007092083	420000	1919.673814535141
14	3.8661108	1.8653871	8.727469	-0.15406924	29.2	20.352394	115.0	0.0	300.0	43971.0	0.09771333333333333	1.4095633	0.4226523	2.5377605	0.33663112	10.70245	4.693061	31.832726	1.6625702	0.0	-0.001608667	-5.6966147e-08	0.00032809243	0.29083607	-0.019990116	37.838303	-5.0650406	0	0	1.0	1.8213552	0.0004845602	450000	2035.7288854122162
15	3.930009	1.6514044	8.390075	0.4341048	30.53	21.103296	95.0	0.0	300.0	47024.0	0.09796666666666666	1.4897424	0.4300895	2.6893184	0.13674214	10.338262	4.7786694	33.90627	0.18331292	9.155274e-09	-0.0012093496	4.2724608e-08	0.0007471832	0.2805853	-0.036508664	38.60024	-5.0805817	0	0	1.0	1.8205998	0.00034499742	480000	2168.526564359665
16	4.44112	2.059584	9.195522	0.25468233	28.34	19.517284	98.0	0.0	300.0	49858.0	0.0977607843137255	1.4997624	0.38204572	2.681916	0.30637944	10.408593	4.5667324	34.77824	0.41509452	-1.0172526e-09	-0.0009742483	0.0	0.0006524007	0.40737253	-0.05182135	35.1711	-7.2664833	0	0	1.0	1.8199215	0.00020210343	510000	2319.80624628067
17	4.403467	2.0376284	11.731286	0.15613589	24.76	17.762388	101.0	0.0	300.0	52334.0	0.09691481481481481	1.6091269	0.46363294	3.1554987	0.0563699	9.559178	4.3603263	39.053154	1.2222828	1.2207031e-08	-0.008925893	1.2207031e-08	-0.0076025757	0.39339134	-0.027868688	34.36972	-7.6187115	0	0	79.0	1.8192947	0.006505183	540000	2471.507236480713
18	5.034867	1.960038	10.836189	0.7711053	28.57	17.387497	77.0	0.0	300.0	55191.0	0.09682631578947369	1.6290281	0.4466495	3.12951	0.16554251	8.826162	3.8544621	36.078426	0.7844378	-2.0345052e-09	-0.0083467085	-8.138021e-09	0.003230896	0.3854174	-0.04840809	32.276855	-5.778784	0	0	79.0	1.8208306	0.0067044958	570000	2617.20832324028
19	6.4563813	2.197624	11.585464	1.6870177	31.98	15.709856	77.0	4.0	300.0	58389.0	0.097315	1.8375883	0.44992164	3.2479937	0.25859815	9.90152	4.264189	35.6934	0.47849584	1.8310548e-08	-0.008951284	4.4759116e-08	0.0008360148	0.5280595	-0.12143549	29.927738	-5.0680733	0	0	79.0	1.8072535	0.007800749	600000	2766.2973778247833
20	6.905585	2.1193624	15.141693	2.4575527	29.19	15.489155	68.0	0.0	300.0	61308.0	0.09731428571428571	2.1769352	0.48446092	3.6447713	0.50486064	10.827341	3.7751775	34.35276	1.7421346	-6.1035155e-09	-0.0020093261	7.2224935e-08	0.00089735613	0.45016634	-0.07760894	31.895195	-5.1310368	0	0	3.0	1.7797635	0.0018928627	630000	2891.9778785705566
21	7.027434	1.9018255	12.008153	1.8611848	26.79	15.777386	83.0	0.0	300.0	63987.0	0.09695	2.4207356	0.4951272	3.8407173	0.5993104	10.3033085	3.685091	35.629448	3.121306	-1.0172526e-08	0.0129139265	-1.2207031e-08	-0.011358222	0.46310273	-0.052890927	28.542042	-5.0612755	0	0	1.0	1.7786983	0.019236077	660000	3018.758065700531
22	6.8418117	1.9650434	13.223114	2.9738452	29.17	18.55104	96.0	0.0	300.0	66904.0	0.09696231884057971	2.5038064	0.45357662	3.7975738	0.71863395	9.652883	3.3101358	30.890272	2.7226334	-5.086263e-09	0.007910069	-3.86556e-08	0.0057056416	0.39320126	-0.056991816	30.98067	-6.121584	0	0	1.0	1.7779821	0.020440316	690000	3147.1513872146606
23	7.647223	2.1305156	12.178264	1.8822713	33.3	16.84488	77.0	0.0	300.0	70234.0	0.09754722222222222	2.603938	0.5125489	4.104139	0.5988082	10.220204	4.1671295	37.899887	0.4267088	-4.0690105e-09	0.010042199	-6.306966e-08	0.001379124	0.5207606	-0.063555926	35.501373	-6.3490524	0	0	1.0	1.7774508	0.022687584	720000	3271.707350254059
24	6.3408403	2.8433168	13.748286	0.4309898	29.76	16.01819	81.0	0.0	300.0	73210.0	0.09761333333333333	2.716147	0.5635724	4.1190333	0.62050027	11.187827	3.8720732	34.656494	3.0060813	-2.0345052e-09	-0.0009950054	2.0345052e-08	7.449951e-05	0.9629929	-0.24905503	27.18463	-5.525326	0	0	1.0	1.7771873	0.00018286452	750000	3404.707862138748
25	7.195881	2.4687085	12.67208	0.9118005	31.59	15.51586	72.0	0.0	300.0	76369.0	0.09790897435897436	2.489774	0.6828997	4.160496	0.24714468	10.523312	3.3796146	34.739746	2.2232075	2.8483074e-08	0.0033412476	-2.4414062e-08	-0.0015689707	0.7832797	-0.08090252	23.707216	-4.1851616	0	0	1.0	1.7771508	0.01821716	780000	3533.823687314987
26	7.66537	2.1736188	15.089681	3.049038	34.61	17.644203	84.0	5.0	300.0	79830.0	0.09855555555555555	2.5611374	0.57387197	3.9974594	0.8777302	11.226701	3.5496447	31.963974	3.6383257	-2.0345052e-09	-0.00087745767	-2.8483074e-08	-3.749593e-05	0.57778084	-0.09613791	33.905334	-6.929001	0	0	1.0	1.7770547	0.00015185004	810000	3670.373478412628
27	8.045112	2.5411751	18.140224	3.3787677	31.0	17.281782	81.0	0.0	300.0	82930.0	0.09872619047619048	2.7567635	0.5739052	4.4380956	0.71092457	11.130675	3.6601572	33.83074	2.2582476	-2.0345052e-09	-0.0015045004	-1.2207031e-08	0.001284969	0.53985035	-0.06875974	28.746069	-6.0044537	0	0	1.0	1.77703	0.0018568588	840000	3807.0480291843414
28	8.29347	2.1428633	14.325259	4.0664988	28.67	14.234504	66.0	5.0	300.0	85797.0	0.09861724137931034	2.9092274	0.5641862	4.5677447	0.8626113	10.806688	3.6057854	32.812023	1.1611538	-6.1035155e-09	-0.0013997996	0.0	0.0027527588	0.5102371	-0.056405067	22.315903	-4.425789	0	0	1.0	1.7771329	0.0018375224	870000	3937.061920404434
29	7.930579	2.4710817	15.130341	2.2117665	30.63	15.743986	99.0	0.0	300.0	88860.0	0.09873333333333334	3.0080385	0.5905359	4.7218523	0.8115577	10.440371	3.6784906	28.700996	2.043594	-3.0517577e-09	-0.0023876699	-4.8828124e-08	-0.00199423	0.6328776	-0.07138997	22.957104	-4.6163197	0	0	1.0	1.7771792	0.005432023	900000	4059.649435520172
30	8.325214	2.6742883	15.768232	2.4923837	29.43	14.938042	74.0	5.0	300.0	91803.0	0.09871290322580645	2.8974867	0.60047233	4.667703	0.66890955	10.190939	3.5469828	32.996494	1.64418	-8.138021e-09	-0.00070770463	-4.0690105e-09	0.00033979493	0.6751444	-0.08359176	23.266932	-4.9712048	0	0	1.0	1.7770921	0.00036385705	930000	4200.4607474803925
31	8.316891	2.3755572	15.220648	3.5927794	31.38	14.204774	69.0	4.0	300.0	94941.0	0.098896875	3.0022047	0.63151824	4.9572496	0.94329464	10.236318	3.496645	30.854916	1.5664313	-9.155274e-09	-0.00092128804	-1.4241537e-08	-0.00019951985	0.61857057	-0.060922086	25.587446	-5.3950157	0	0	1.0	1.7767386	0.00043517424	960000	4333.492317914963
32	8.567875	2.599003	14.723793	3.5311582	31.69	15.235285	75.0	0.0	300.0	98110.0	0.0991010101010101	3.0015092	0.64878106	4.655197	0.56351167	10.7533455	3.48434	31.024746	2.604671	1.3224284e-08	-0.0019997584	8.138021e-09	-0.0012365315	0.6220751	-0.062499046	23.618502	-5.363949	0	0	1.0	1.776222	0.0017153041	990000	4475.133761882782
33	7.945628	2.2218938	15.677039	2.9296842	29.16	14.584732	66.0	0.0	300.0	101026.0	0.09904509803921568	3.0689964	0.63195264	4.853817	1.007784	11.014346	3.4929447	30.22131	2.0488338	7.1207684e-09	-0.0009249898	-4.0690104e-08	-0.000108341475	0.54002106	-0.072282076	23.673086	-6.151003	0	0	1.0	1.775723	0.00013996134	1020000	4600.7153906822205
34	8.254601	2.2206159	13.65186	2.8320947	30.53	17.156023	93.0	0.0	300.0	104079.0	0.09912285714285714	3.023546	0.6333317	4.6230025	0.7219458	10.203227	3.647732	31.932745	1.5301622	-2.0345052e-09	-0.000648822	2.2379558e-08	6.6480505e-05	0.54615206	-0.063967675	28.402641	-6.2511826	0	0	1.0	1.7752529	0.00016589843	1050000	4735.597797870636
35	8.643024	2.6990733	16.481554	3.5386028	29.63	15.480086	74.0	0.0	300.0	107042.0	0.09911296296296296	3.0155237	0.6312836	4.7388296	0.7831322	10.660131	3.7167833	34.236248	2.203977	-8.138021e-09	-0.0006254181	4.0690105e-09	-0.00030606895	0.6553172	-0.10680294	25.32621	-6.677742	0	0	1.0	1.7747878	0.0002187352	1080000	4864.966007471085
36	8.192254	2.3834784	13.371338	2.0217452	28.32	11.953979	68.0	0.0	300.0	109874.0	0.09898558558558558	3.1034262	0.6917545	4.965317	0.76714134	10.253813	3.4546893	31.881594	1.5331887	-8.138021e-09	-0.00089261675	3.3569336e-08	0.00018144633	0.62382066	-0.09545487	19.717112	-6.2410383	0	0	1.0	1.774313	0.00041133643	1110000	5003.974697589874
37	8.718033	2.215027	15.980538	3.9550226	28.35	13.643589	63.0	5.0	300.0	112709.0	0.09886754385964912	3.0745318	0.6506337	4.7802696	0.7350178	10.173723	3.1052105	26.839273	0.23576993	-6.1035155e-09	-0.00058611855	5.086263e-09	6.3253785e-05	0.52839607	-0.073812604	22.533014	-5.475872	0	0	1.0	1.7736824	0.00016485993	1140000	5144.162199258804
38	9.211902	2.5657725	16.21107	3.619654	29.65	14.596832	93.0	1.0	300.0	115674.0	0.09886666666666667	3.1604345	0.64420354	4.6793523	0.5502227	10.203385	3.4090319	31.788568	0.99532443	-2.0345052e-09	-0.00088017376	-8.138021e-09	-0.00014060059	0.6157179	-0.102151036	22.236395	-6.514184	0	0	1.0	1.7730864	0.00023805386	1170000	5261.010511398315
39	8.92067	2.148106	15.964399	4.4810133	29.62	16.01985	78.0	7.0	300.0	118636.0	0.09886333333333333	3.2908297	0.66871345	5.046046	0.6275031	9.863148	3.543981	29.856825	1.0903836	4.0690105e-09	-0.0006116292	-4.0690104e-08	-0.0004739502	0.5078105	-0.08516699	24.087505	-7.04204	0	0	1.0	1.7724046	0.00028411704	1200000	5398.103551387787
40	9.102805	2.7299223	16.033278	1.6263444	27.35	12.732143	65.0	0.0	300.0	121371.0	0.09867560975609756	3.246743	0.6713916	4.945484	0.51491076	9.96488	3.371329	25.64038	1.3303457	1.2207031e-08	-0.005991445	-1.7293294e-08	-0.0037920636	0.5899959	-0.095265746	19.24762	-6.4856215	0	0	79.0	1.7718196	0.0052996706	1230000	5532.021938323975
41	9.323239	2.772403	17.500517	1.8031704	29.23	12.881659	66.0	4.0	300.0	124294.0	0.09864603174603175	3.3153307	0.7404316	4.9386816	0.15846747	9.992461	3.3478627	26.279066	2.0224113	-1.7293294e-08	-0.0060975216	2.0345052e-08	-0.0011157085	0.561491	-0.10726726	16.898077	-5.009466	0	0	79.0	1.7323972	0.005142557	1260000	5682.3680856227875
42	9.77136	2.8999414	19.030771	1.1695608	26.67	12.67206	71.0	0.0	300.0	126961.0	0.09841937984496124	3.444146	0.742384	5.3821087	0.45373663	9.815739	3.2196712	29.833843	0.0691048	-9.6639e-09	-0.0060349116	8.138021e-09	0.00017477214	0.68042284	-0.12063563	18.153921	-5.8431416	0	0	79.0	1.7132136	0.005279727	1290000	5813.750946998596
43	10.473741	2.683305	18.790842	2.3105319	27.2	12.326394	71.0	0.0	300.0	129681.0	0.09824318181818181	3.5875566	0.76420605	5.2803006	0.67852473	9.4690895	3.2092779	26.123182	0.088511065	-8.90096e-09	-0.006171269	-2.339681e-08	0.0026639646	0.62157124	-0.11697048	20.218092	-6.4216604	0	0	79.0	1.6983399	0.0048869546	1320000	5963.924870014191
