Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-9.893703	4.727436	-3.062853	-17.07371	5.3	6.8563843	24.0	0.0	400.0	53.0	0.01325	-0.08783884	0.2267378	0.77068573	-1.0141814	-0.32510215	0.07535677	0.31724164	-0.6500071	-9.745359e-09	0.054263815	-1.9073487e-09	-0.0035425422	10.536339	-4.6793404	3.3516417	-1.9199581	0.99999994	0.032037795	1.0	1.837877	0.21550809	4000	19.38015866279602
1	-0.33308583	2.5768645	4.9721465	-3.1439035	28.3	23.164845	75.0	5.0	400.0	336.0	0.042	-3.1757455	2.096464	0.95266885	-8.7614	2.0058944	1.9863968	7.848655	-1.8250512	-2.0933074e-08	-0.003959256	-7.7486035e-08	-0.00914457	10.590229	-9.057291	49.80087	-27.379015	1.0320377	0.02686429	1.0	1.8372192	0.002057212	8000	37.526174783706665
2	0.113263786	2.32544	2.7987537	-4.764807	39.0	21.033306	63.0	0.0	400.0	726.0	0.0605	-0.7381799	0.73959893	0.47661832	-3.1084738	6.466277	5.459336	20.882498	-5.8587785	-2.2763743e-08	0.0017717939	-1.9550324e-08	-0.014074279	1.6038882	-0.854346	43.09722	-17.220173	1.058902	0.029455423	1.0	1.8372784	0.026261311	12000	56.63844180107117
3	-0.9247066	2.6355839	3.0609498	-4.7654204	21.4	17.675972	53.0	0.0	400.0	940.0	0.05875	0.07776904	0.58198583	0.843489	-2.1541364	7.0866613	4.892404	19.842966	-6.913743	-5.6890537e-09	-0.004750779	-1.5735626e-08	-0.029935857	1.2300147	-0.20745564	23.415398	-10.861569	1.0883574	0.030174136	1.0	1.837904	0.032313503	16000	85.30517220497131
4	-1.9480314	3.7831938	3.1334865	-10.789559	9.8	10.351812	28.0	0.0	400.0	1038.0	0.0519	0.049967904	0.587846	1.2195334	-3.1419358	4.1123543	2.6309583	15.613389	-2.3756318	-1.7392162e-08	-0.0046735057	-3.528595e-08	-0.01747005	1.675639	-0.37746716	8.633803	-4.9687223	1.1185316	0.028520346	2.0	1.8386291	0.012249462	20000	113.21259808540344
5	-6.743983	5.1608524	0.87067604	-19.902369	4.1	5.769748	16.0	0.0	400.0	1079.0	0.044958333333333336	0.15359855	0.8727808	2.1491024	-5.6838536	2.0598388	1.7819499	12.694997	-4.320913	1.0248049e-09	-0.0028008043	-2.8610229e-08	8.301306e-05	5.0110555	-1.8456664	2.423298	-1.3807405	1.1470519	0.025613308	2.0	1.8392456	0.0075274347	24000	140.7582824230194
6	-3.3441262	2.1578243	0.95749706	-5.8076034	9.3	7.043437	20.0	0.0	400.0	1172.0	0.04185714285714286	-0.90459573	1.0174798	1.2170662	-4.612531	1.5730213	1.9535207	13.848103	-2.406195	-1.0589906e-08	-0.002560165	-2.002716e-08	-0.009839205	1.6351383	-0.5182785	5.064855	-1.6350007	1.1726652	0.02491033	2.0	1.8395042	0.010922381	28000	168.0069704055786
7	-5.1479154	3.1637337	-0.15845604	-10.149343	7.9	7.4625735	24.0	0.0	400.0	1251.0	0.03909375	-0.7485403	0.6725061	0.58300513	-3.9930327	1.1595967	1.4624162	9.893732	-1.6521778	-2.4425871e-08	-0.0024048449	-2.5510788e-08	-4.3205262e-05	1.0849808	-0.20080942	4.712065	-1.8653646	1.1975756	0.024049163	2.0	1.8398974	0.006353344	32000	197.29432034492493
8	-4.3870773	2.1320455	0.038360156	-9.130406	8.0	10.65833	32.0	0.0	400.0	1331.0	0.03697222222222222	-0.7874832	0.6547879	1.1171657	-4.366117	1.0606548	1.4314184	12.74327	-8.05929	1.7045485e-08	-0.0027653333	2.2411346e-08	-0.0073848176	0.89346385	-0.23137397	7.3348403	-4.4748974	1.2216247	0.023458123	3.0	1.8401915	0.0057929954	36000	224.29832649230957
9	-5.7625093	2.9524038	-1.4282655	-9.999427	4.3	6.116371	18.0	0.0	400.0	1374.0	0.03435	-0.8757945	0.74411845	0.18382381	-4.2058005	0.7045967	1.7731671	16.830185	-10.022459	3.402309e-08	-0.0039463253	3.004074e-08	-0.003811903	1.0004659	-0.41581267	3.643505	-2.5752358	1.2450829	0.021853209	2.0	1.8400989	0.024441779	40000	251.2598533630371
10	-1.5323915	3.1965888	7.617885	-3.6889205	6.3	11.44596	37.0	0.0	400.0	1437.0	0.03265909090909091	-1.5615605	0.74448234	0.64789385	-3.265082	0.873913	1.758317	13.2932825	-1.734332	2.0676593e-08	-0.0049528936	-2.1457671e-09	-0.0059610205	1.8065251	-1.4518226	7.3906054	-5.287428	1.2669361	0.021142602	3.0	1.8399677	0.0035867083	44000	280.26541805267334
11	-2.2244463	1.0635352	-0.42340365	-3.719878	9.4	14.914422	45.0	0.0	400.0	1531.0	0.03189583333333333	-0.3128354	0.6718705	2.2672791	-2.2475128	0.38044915	1.1905473	15.292819	-2.1299026	-4.653823e-09	-0.0030597518	5.2452087e-09	-0.009188193	0.60697013	-0.3984698	12.936036	-9.238541	1.2880787	0.021462917	2.0	1.8395231	0.0064520896	48000	307.3434009552002
12	-1.3091893	2.3148565	2.5275474	-4.4107924	6.2	5.3999996	16.0	0.0	400.0	1593.0	0.030634615384615385	-0.42350566	0.40447113	0.29717985	-1.8941467	0.9419525	2.7161422	20.181303	-2.508282	-3.5605574e-08	-0.02024308	-4.7683717e-08	-0.045243055	0.7922816	-0.28582454	6.2085285	-4.445008	1.3095416	0.021258235	11.0	1.839192	0.020210609	52000	334.3721396923065
13	-2.2582793	1.832623	-0.33015847	-6.9800506	2.3	3.2572994	9.0	0.0	400.0	1616.0	0.028857142857142856	-0.13054904	0.5465856	1.6543937	-1.9693141	0.41176692	0.87828946	9.58155	-2.7580233	1.13346e-08	-0.016145045	2.3841857e-09	-0.03678053	0.47312757	-0.21306777	0.6761372	-0.41340545	1.3307998	0.02010727	15.0	1.8373069	0.013897526	56000	362.3846273422241
14	-2.3959374	1.7645582	0.281511	-5.3030176	1.5	1.5652477	5.0	0.0	400.0	1631.0	0.027183333333333334	-0.3292353	0.53598356	0.6389382	-2.3729253	0.1549198	0.4704255	5.8932643	-1.5452329	8.743959e-09	-0.0013962775	-1.5497208e-09	-0.0003795892	0.40611157	-0.11708081	0.23991452	-0.092574984	1.3509071	0.017435312	2.0	1.8374531	0.006174059	60000	392.4279696941376
15	-3.1251807	0.79787976	-1.7817553	-4.0646772	0.9	1.5132746	5.0	0.0	400.0	1640.0	0.025625	-0.15997687	0.57599515	0.9285814	-2.6409016	0.099934064	0.26266804	4.196321	-1.885518	-3.777654e-09	-0.008650907	-2.4437905e-09	-0.010049517	0.35127303	-0.09513146	0.1985574	-0.0330863	1.3683424	0.01575458	63.0	1.8377028	0.012024206	64000	420.7847993373871
16	-1.1921101	1.1145563	1.0760642	-3.4361894	2.2	3.3105893	9.0	0.0	400.0	1662.0	0.024441176470588237	-0.8012378	0.59488845	0.4957401	-2.707939	0.13836668	0.2439969	3.575056	-2.0367532	8.158374e-09	-0.0012147424	-1.0579824e-08	-0.0011591963	0.532082	-0.35164982	1.2673752	-0.19364107	1.384097	0.014020801	2.0	1.8139701	0.0009988617	68000	447.11721777915955
17	-2.281206	1.1734533	-0.2725604	-3.8156388	4.4	7.889233	27.0	0.0	400.0	1706.0	0.023694444444444445	-0.11810695	0.48816273	0.7966333	-2.0120277	0.30776203	0.36639616	5.643038	-0.4154232	1.5480996e-08	-0.0006963056	2.348423e-08	-0.000736938	0.16311844	-0.04784996	4.935366	-2.5927455	1.3981178	0.013672352	3.0	1.8129013	0.0006792001	72000	476.1942493915558
18	-2.1195445	2.2114992	1.725909	-4.3249917	0.6	1.8000001	6.0	0.0	400.0	1712.0	0.022526315789473682	-0.27514568	0.5180845	1.0409763	-2.366527	0.36788714	0.9885465	8.033882	-2.4422543	1.9859254e-09	-0.002415595	8.881092e-09	-0.0017825034	0.40681207	-0.23424442	1.1568667	-1.0336651	1.4117901	0.011970401	4.0	1.8116068	0.0032444524	76000	503.81827902793884
19	-2.535972	1.5066563	-0.38208765	-4.9569883	0.6	0.9165151	2.0	0.0	400.0	1718.0	0.021475	-0.36771244	0.62348133	0.8519554	-3.0804863	0.040314645	0.13607974	1.5139499	-2.4316747	-5.6802585e-09	-0.006536453	2.4288893e-09	-0.0032548297	0.24199064	-0.11524199	0.07627268	-0.020472053	1.4237605	0.009960413	21.0	1.8111598	0.011146316	80000	531.1444029808044
20	-1.1690035	2.222683	4.169415	-4.379204	2.0	3.794733	12.0	0.0	400.0	1738.0	0.02069047619047619	-0.66764146	0.4819041	0.6825203	-3.2945797	0.10677305	0.24243033	8.074726	-1.0392234	2.4555149e-08	-0.00621409	7.092953e-09	-0.0063158497	0.44142804	-0.32701477	0.7574345	-0.113966346	1.433721	0.008865356	18.0	1.8078046	0.01315065	84000	560.7101044654846
21	-0.44462523	1.92192	3.964755	-2.7929027	7.9	10.014489	33.0	0.0	400.0	1817.0	0.020647727272727272	-0.29138964	0.5201547	2.4403672	-1.9856557	0.30040652	0.28594688	5.9870095	-1.3922694	-3.163404e-08	-0.0047439663	-5.984306e-08	-0.015904002	0.44781882	-0.28067595	11.837505	-7.8302407	1.4425863	0.01079905	2.0	1.8013284	0.02105843	88000	588.9208898544312
22	-0.39214683	1.2078518	2.0513468	-2.7518835	3.2	4.1665335	11.0	0.0	400.0	1849.0	0.02009782608695652	0.13845785	0.3519221	1.9144225	-1.1451389	0.80580765	1.1164832	9.377366	-2.6661599	1.0072849e-08	-0.0028651445	2.4795533e-08	-0.004239905	0.23342654	-0.10558662	2.048735	-1.5401475	1.4533854	0.010371804	2.0	1.8005397	0.004666246	92000	616.3567254543304
23	-0.62354004	1.333367	2.118735	-1.8753302	6.4	8.077128	27.0	0.0	400.0	1913.0	0.019927083333333335	-0.08367379	0.37947047	1.2750272	-1.1521403	0.6240839	0.9410894	7.3976984	-1.7687061	1.7494653e-08	-0.013502439	2.0325183e-08	-0.025278902	0.47132605	-0.30906442	3.0998564	-1.9397329	1.4637572	0.011466384	7.0	1.7999768	0.016908158	96000	643.2143406867981
24	-0.91925794	1.2243104	1.5059017	-2.7193875	4.8	6.2737546	17.0	0.0	400.0	1961.0	0.01961	0.047925435	0.43157735	1.827195	-2.2576003	1.0605527	1.5537893	10.6493225	-9.048366	6.772042e-09	-0.005938185	6.6757204e-09	-0.01887208	0.2725345	-0.14928599	4.8161173	-2.1035502	1.4752235	0.011493325	2.0	1.7973228	0.02058175	100000	672.5838408470154
