CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	-0.89604247	13.8	300.0	0.11527991	-0.64938486	-0.6498117	0.05319751	0.67462945	0.6339727	0.6276007	1.4141736	0.01151374	0.62703633	0.0005643312	3.0782168	279.8	82.6	91.35739135742188
2	1	3000	2.446897	83.2	300.0	0.008694796	-0.5998122	-0.59974647	0.08476594	0.963628	0.6339727	0.64876497	0.72843254	0.15341759	0.60154355	0.047221452	1.2183812	289.8	24.15	197.19994616508484
2	2	4440	2.376775	46.0	288.0	0.00505174	-0.6123294	-0.6123397	0.07025167	1.0506456	0.63397276	0.772931	-0.04501352	0.40355778	0.6259169	0.14701404	0.4422706	300.0	5.85	310.12586879730225
2	3	5786	2.2053013	14.2	269.2	0.0049336874	-0.6310562	-0.6309884	0.06393917	1.0534784	0.6339727	0.8626636	0.36278376	0.6446773	0.64903694	0.21362667	1.4889538	296.9	25.9	400.2182846069336
2	4	7286	1.6061274	14.4	300.0	0.0039049392	-0.6408675	-0.6408719	0.054738864	1.0243757	0.6339727	0.9093174	0.8029621	0.86055934	0.6615421	0.24777533	0.9153323	300.0	12.55	527.3519203662872
2	5	8786	0.42556825	38.4	300.0	0.004083174	-0.6482561	-0.6482627	0.058131382	0.9839705	0.6339727	0.9335092	0.9613335	1.0600114	0.67072046	0.2627887	0.112731114	300.0	16.85	621.1852569580078
2	6	10286	0.5997225	50.4	300.0	0.0036707753	-0.6579395	-0.6579641	0.05999415	0.9644688	0.6339727	0.96326333	1.1840496	1.2347263	0.6802614	0.28300196	-0.104802206	300.0	6.65	732.5873327255249
2	7	11786	0.042868733	8.8	300.0	0.0035106249	-0.67208195	-0.6721047	0.055593338	0.9011384	0.6339727	0.92031837	1.2555503	1.3770927	0.69468606	0.22563227	-0.03130243	300.0	13.45	825.0702037811279
2	8	13286	-0.48120537	4.8	300.0	0.0036554472	-0.6808013	-0.6807476	0.04979216	0.8139134	0.6339727	0.8127013	1.4531636	1.457377	0.7035962	0.10910513	0.8790906	300.0	31.65	932.0351989269257
2	9	14786	0.6808017	18.4	300.0	0.0037314936	-0.6870824	-0.6871332	0.050708793	0.7659273	0.6339727	0.74482864	1.5114225	1.490202	0.7082659	0.03656266	0.7179308	296.65	31.45	1035.5826244354248
2	10	16078	1.6297543	79.2	258.4	0.0048974026	-0.70718676	-0.7072557	0.064381994	0.76968896	0.63397264	0.77556914	1.4695243	1.5075681	0.7357649	0.039804313	0.52400273	300.0	29.45	1127.5679483413696
2	11	17578	1.56574	39.0	300.0	0.004332102	-0.72341835	-0.7233492	0.06680844	0.7520405	0.6339727	0.7653363	1.4515563	1.517351	0.75143516	0.01390114	0.8105529	291.05	21.9	1249.8820474147797
