Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.050818633	1.2581315	3.9581764	-2.5361316	27.53	25.987478	98.0	0.0	300.0	2753.0	0.09176666666666666	0.71523273	0.12206109	1.2274988	0.28714502	-0.52457535	0.079769894	-0.18569353	-0.8056976	6.1035155e-09	-0.011095187	0.0	-0.0017880045	0.41812265	-0.27740595	119.615295	-64.05168	0	0	1.8791716	0.0	1.837877	0.008787998	30000	172.09279084205627
1	0.68568754	1.8455411	6.484193	-2.6673036	29.46	26.66624	100.0	0.0	300.0	5699.0	0.09498333333333334	0.2739472	0.21211682	0.97655964	-0.46275875	6.525909	3.9102066	14.478077	-3.1360521	2.339681e-08	-0.013178478	-4.0690104e-08	0.00084421795	0.24238704	-0.054935515	63.01855	-10.345863	0	0	1.5967715	0.0	1.8453473	0.008705215	60000	344.5019316673279
2	2.159754	1.7849737	6.9679213	-1.3495499	31.34	22.71573	106.0	0.0	300.0	8833.0	0.09814444444444445	0.4069227	0.41961572	1.727312	-0.35135108	8.939903	4.922751	19.585747	-5.386801	3.0517577e-09	-0.014523335	2.0345052e-08	0.011089339	0.31830242	-0.08511828	50.7118	-7.364208	0	0	1.4472816	0.0	1.8496282	0.009744596	90000	502.8252685070038
3	3.2906954	1.9359592	7.894218	-1.5420855	33.88	18.702557	82.0	0.0	300.0	12221.0	0.10184166666666666	0.7472341	0.4240447	1.9758828	-0.069628194	11.806904	4.058997	23.178543	0.43181413	1.2207031e-08	-0.012212935	-3.2552084e-08	-0.0044969725	0.44473034	-0.09218365	46.757515	-2.6700668	0	0	1.6944902	0.0	1.8518443	0.008729022	120000	692.3917286396027
4	3.3641431	1.9022208	8.071537	-1.0573936	30.81	20.144327	99.0	0.0	300.0	15302.0	0.10201333333333333	0.9740577	0.4261202	2.3825424	0.21904886	11.521489	3.4631288	24.825144	3.669242	-9.918213e-09	-0.010583004	2.4414062e-08	0.0037862752	0.38772228	-0.042167276	46.270004	-3.5834465	0	0	1.9064447	0.0	1.8460094	0.0094089	150000	860.4880967140198
5	4.171312	2.360289	12.154116	-0.9014444	31.21	20.096914	106.0	0.0	300.0	18423.0	0.10235	1.1294992	0.41874626	2.32413	0.19550385	11.181372	3.8963532	25.48527	3.4651804	3.6621095e-08	-0.009801703	-2.2379558e-08	-0.006657794	0.50907636	-0.061897516	45.21038	-2.0092926	0	0	2.1023564	0.0	1.8485687	0.008967194	180000	1021.5353183746338
6	4.572911	2.139603	9.507776	-0.9428649	33.41	18.927807	100.0	0.0	300.0	21764.0	0.10363809523809524	1.3596909	0.48807058	2.641372	0.3183387	10.993742	3.656511	27.94294	1.8930086	-6.1035155e-09	-0.010645845	3.2552084e-08	-0.0026455608	0.46728724	-0.05255109	38.160046	-1.6442299	0	0	1.8690517	0.0	1.8401989	0.00895366	210000	1190.3736820220947
7	4.958538	2.1287882	10.950369	-0.70071304	32.52	18.620676	83.0	0.0	300.0	25016.0	0.10423333333333333	1.5075073	0.47307974	2.7284985	0.36220056	11.097426	3.3508577	26.993647	3.073703	-7.1207684e-09	-0.011075551	-5.6966147e-08	0.0024519349	0.5350619	-0.067005634	40.983707	-1.9794159	0	0	1.8636063	0.0	1.825915	0.009900741	240000	1371.090823173523
8	5.7323427	2.498876	13.7646475	1.0307378	31.33	16.488817	91.0	0.0	300.0	28149.0	0.10425555555555556	1.6423492	0.52153957	2.998734	0.16835375	11.425389	3.5786757	27.118404	1.7570075	2.0345052e-08	-0.0091720745	1.2207031e-08	-0.003385726	0.71763855	-0.1479376	32.444103	-2.0429192	0	0	2.0168426	0.0	1.8081877	0.007923916	270000	1537.627014875412
9	5.783415	2.2509222	12.094548	1.6884034	30.0	18.046606	79.0	0.0	300.0	31149.0	0.10383	1.8945427	0.5728016	3.7516453	0.09790988	10.937441	3.1616426	25.533857	2.9828007	8.138021e-09	-0.011602387	-6.510417e-08	-0.0026460448	0.5436675	-0.05836034	33.618282	-2.3072128	0	0	1.8024614	0.0	1.806931	0.009654425	300000	1706.4449961185455
10	7.2288265	2.570925	12.693219	-1.0122353	32.88	15.875315	77.0	0.0	300.0	34437.0	0.10435454545454545	1.9973567	0.5931939	3.723599	-0.15737893	10.829544	3.4110014	24.547527	1.7859255	-5.086263e-09	-0.008805368	2.4414062e-08	1.4152018e-05	0.75346327	-0.1483863	30.900276	-2.4887714	0	0	2.1943688	0.0	1.8038336	0.008662671	330000	1878.6661124229431
11	6.9856377	2.637446	13.098561	0.0926265	30.34	16.178516	73.0	0.0	300.0	37471.0	0.10408611111111112	2.297555	0.6466958	4.142098	0.19164915	11.097799	3.4613936	25.21321	1.355518	-9.950002e-09	-0.009529089	2.4414062e-08	0.0015588867	0.65641356	-0.051924944	30.48677	-2.5158749	0	0	2.1180673	0.0	1.7809213	0.009638989	360000	2047.0036091804504
12	8.266087	2.609398	14.236167	2.6635587	30.92	15.871787	76.0	0.0	300.0	40563.0	0.1040076923076923	2.4224498	0.6379389	4.0929337	-0.1909188	10.93326	3.0724123	24.487162	2.0114334	-3.051758e-08	-0.008231832	5.6966147e-08	-0.0025398235	0.7907772	-0.16711783	28.4803	-3.0115318	0	0	2.415364	0.0	1.7740428	0.008830219	390000	2226.7257306575775
13	8.2999935	2.4892075	14.913801	1.3005955	27.93	15.121015	79.0	0.0	300.0	43356.0	0.10322857142857143	2.6998534	0.6340692	4.331557	0.09313244	10.1945715	2.8871803	24.394241	2.699337	-1.0172526e-08	-0.00864966	8.138021e-09	-0.0032028076	0.5904462	-0.07283646	24.667387	-2.3834114	0	0	2.3393416	0.0	1.7686851	0.009540092	420000	2389.9848573207855
14	9.122723	2.5050516	14.295327	0.32589364	26.58	12.936908	60.0	0.0	300.0	46014.0	0.10225333333333333	2.8800573	0.6295977	4.333159	0.18593718	10.025625	2.7759752	24.109386	0.8757121	-1.0172526e-08	-0.007764459	-6.1035155e-09	0.001381966	0.6940345	-0.09132695	21.017035	-2.5771103	0	0	2.6364834	0.0	1.7446612	0.009258335	450000	2566.4571368694305
15	9.330148	2.5682003	18.362434	3.56238	29.51	12.330852	69.0	0.0	300.0	48965.0	0.10201041666666667	3.1301026	0.6606037	4.511406	0.034921214	9.384983	2.4523807	21.978033	-0.16834241	-1.93278e-08	-0.008058792	8.138021e-09	-0.0014257731	0.6728681	-0.06209904	18.855854	-2.3832111	0	0	2.4533079	0.0	1.726387	0.0096462695	480000	2738.4659383296967
16	9.580175	2.7837946	16.338135	1.8013363	31.97	16.293835	79.0	5.0	300.0	52162.0	0.10227843137254902	3.2201831	0.65578216	4.722009	0.22507095	9.922959	2.564996	22.26507	1.8603834	-1.8310548e-08	-0.008571345	5.6966147e-08	0.0032419027	0.8014793	-0.113434255	30.509516	-3.6937962	0	0	2.27455	0.0	1.7090454	0.009450254	510000	2909.514706850052
17	9.752212	2.9344108	16.547781	0.7712191	31.11	12.640328	63.0	11.0	300.0	55273.0	0.10235740740740741	3.3176432	0.69743145	4.9704366	0.48412865	10.5606985	2.97298	28.5167	2.6430361	2.0345052e-09	-0.007732138	0.0	0.0008391764	0.7671894	-0.071546555	20.923006	-2.829918	0	0	2.5001528	0.0	1.6585698	0.009112185	540000	3085.372878551483
18	9.758422	2.3977368	15.583194	2.456228	27.63	13.4585705	74.0	3.0	300.0	58036.0	0.10181754385964913	3.4270961	0.69827193	4.8674474	0.3980079	10.339643	2.5364983	24.211945	3.2222757	4.0690105e-09	-0.008654832	0.0	-0.00038119813	0.63855326	-0.07660711	20.008793	-2.3321095	0	0	2.2214844	0.0	1.6471541	0.00910911	570000	3251.118517637253
19	9.351224	2.8117547	14.762489	-0.8558998	27.52	14.94823	71.0	0.0	300.0	60788.0	0.10131333333333334	3.3860319	0.67177576	4.7982416	0.5011608	9.755022	2.8716238	24.99681	1.587006	2.0345052e-09	-0.008045023	-7.629395e-09	0.001723169	0.7143764	-0.07174748	22.894629	-2.8818264	0	0	2.4981205	0.0	1.629094	0.0092170285	600000	3429.7100517749786
20	10.366407	2.6158173	17.166885	4.5152926	31.98	14.644439	74.0	0.0	300.0	63986.0	0.10156507936507936	3.3634703	0.65946215	4.877981	0.10234206	9.941279	2.668357	27.71824	2.2263122	-4.577637e-09	-0.006766722	-1.6276042e-08	-0.0015858765	0.7879954	-0.114200115	23.613317	-3.4804325	0	0	2.4766424	1.0	1.6292402	0.0063660755	630000	3607.122037410736
21	10.310582	2.1940014	15.962761	4.601043	30.36	13.290237	70.0	4.0	300.0	67022.0	0.10154848484848485	3.5254297	0.6495619	5.28929	0.31542307	10.5329485	2.9542851	29.344511	1.5980693	0.0	-0.0073765847	-8.138021e-09	-0.0005995036	0.5500495	-0.08431637	22.049437	-2.8414783	0	0	2.6710284	0.0	1.626844	0.009095193	660000	3786.638076543808
