CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
1	0	1500	-0.9343683	9.0	300.0	0.11800966	-1.1758108	-1.1769956	0.057047855	-0.5898313	0.31698635	1.1743404	0.17427611	1.6779228e-05	1.1743555	-1.5241233e-05	-0.090069994	300.0	11.0	50.00030040740967
1	1	3000	-1.2038997	19.2	300.0	0.0062000845	-1.138726	-1.1385739	0.026016684	-0.5026228	0.31698635	1.1377605	0.017446145	1.623618e-05	1.1377732	-1.2763416e-05	3.895811	300.0	0.0	102.11365389823914
1	2	4500	-0.6511256	11.4	300.0	0.00783033	-1.1118242	-1.1118314	0.022002475	-0.44316298	0.31698635	1.1128824	-0.77393264	1.7205366e-05	1.112895	-1.2714969e-05	-12.110792	300.0	3.0	152.0081648826599
1	3	6000	-0.041331124	5.4	300.0	0.0077167396	-1.078061	-1.0780648	0.022586353	-0.42360234	0.31698635	1.0772337	-0.99596417	2.189266e-05	1.0772494	-1.563029e-05	-0.52862036	300.0	16.0	202.71851325035095
1	4	7500	1.6677185	11.4	300.0	0.009236918	-1.0480627	-1.0481555	0.029516894	-0.33966884	0.31698635	1.047384	-0.9213349	2.8084372e-05	1.0474015	-1.7415516e-05	-1.2541682	300.0	222.0	252.61088728904724
1	5	9000	2.7104056	2.4	300.0	0.01194828	-1.0124085	-1.0123818	0.026834603	-0.33378533	0.31698635	1.0092006	-0.80875576	2.5388155e-05	1.0092163	-1.570576e-05	0.53913486	300.0	0.0	299.6856412887573
1	6	10500	2.8051014	0.0	300.0	0.013386824	-0.9659078	-0.96586406	0.02496494	-0.33974168	0.31698635	0.9605401	-0.6904654	2.6490055e-05	0.96055645	-1.6352084e-05	0.66622	300.0	0.0	349.74850845336914
1	7	12000	3.3759983	0.0	300.0	0.017572846	-0.92101926	-0.9210485	0.023988461	-0.3589352	0.31698635	0.9162507	-0.6308472	2.2796585e-05	0.9162653	-1.4568167e-05	0.59522855	300.0	0.0	397.971022605896
1	8	13500	3.5163288	0.0	300.0	0.017768456	-0.8850777	-0.8850898	0.024800701	-0.34737974	0.31698635	0.88024163	-0.5434338	2.56219e-05	0.88025755	-1.5875306e-05	5.1404347	300.0	0.0	449.80156230926514
1	9	15000	5.4663386	0.0	300.0	0.017952133	-0.8433056	-0.8433624	0.024970513	-0.3413937	0.31698635	0.83704424	-0.48334563	2.2883154e-05	0.8370585	-1.4264699e-05	2.247771	300.0	0.0	501.40781140327454
1	10	16500	3.2651067	26.2	300.0	0.017922916	-0.8091501	-0.8090836	0.03064896	-0.3220282	0.31698635	0.8020186	-0.4362026	2.4709187e-05	0.80203325	-1.4703196e-05	2.5607264	300.0	177.0	551.616286277771
1	11	18000	6.532712	3.2	300.0	0.018742016	-0.7615	-0.7616101	0.034376044	-0.29059243	0.31698635	0.75486225	-0.3478619	2.5974487e-05	0.7548768	-1.4566711e-05	7.607526	300.0	0.0	602.3426265716553
1	12	19500	6.7919946	2.2	300.0	0.0192921	-0.71481633	-0.7147424	0.042005472	-0.23908448	0.31698635	0.708942	-0.31078383	3.1055857e-05	0.7089579	-1.5872743e-05	7.7267447	300.0	9.0	651.3660554885864
1	13	21000	8.076578	20.6	300.0	0.020588834	-0.6585858	-0.65864456	0.04062678	-0.19931655	0.31698635	0.6532148	-0.25372306	2.8964096e-05	0.6532284	-1.3591989e-05	5.269362	300.0	0.0	701.1946921348572
1	14	22500	9.828282	11.2	300.0	0.022336625	-0.59210294	-0.5922071	0.043784562	-0.14413476	0.31698635	0.5871991	-0.14464152	3.230461e-05	0.5872123	-1.3305044e-05	2.6732392	300.0	0.0	749.9540414810181
1	15	24000	6.3519254	3.0	300.0	0.021476401	-0.5356192	-0.53552514	0.03919578	-0.12348035	0.31698635	0.5310253	-0.082881235	3.109403e-05	0.53103745	-1.2268431e-05	9.469788	300.0	14.0	800.437844991684
