Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.43095034	1.1906024	2.2496257	-3.4611042	12.85	15.710427	91.0	0.0	150.0	2570.0	0.08566666666666667	-0.4452731	0.14912398	0.5931501	-1.5500551	-0.02124886	0.16684546	0.6346503	-0.6538734	1.8310548e-08	-0.020820545	2.4414062e-08	0.005598763	0.45839754	-0.107540905	77.8865	-29.977161	0	0	0.96817416	0.0	1.837877	0.008765257	30000	258.03909611701965
1	0.34679022	1.182882	4.095495	-3.1717098	14.05	17.65609	69.0	0.0	150.0	5380.0	0.08966666666666667	-0.3471655	0.25078183	0.55506146	-1.3359268	4.9362397	2.6203475	11.824041	-2.4450085	-6.612142e-09	-0.018563308	-2.8483074e-08	0.01172957	0.38039178	-0.10039276	66.38452	-11.80299	0	0	1.1017427	0.0	1.8311374	0.00787977	60000	528.1037538051605
2	0.6544957	1.4927973	6.081585	-2.8760984	17.17	18.548346	77.0	0.0	150.0	8814.0	0.09793333333333333	-0.13853286	0.23080468	0.9778052	-1.1007463	8.2222185	3.1725593	15.714984	-4.225536	1.2207031e-08	-0.01609107	-3.2552084e-08	-0.00023083089	0.493634	-0.12822363	74.93887	-9.318817	0	0	1.2818345	0.0	1.8177185	0.008983895	90000	792.8403170108795
3	1.2794358	1.6188017	7.694036	-2.948459	13.28	16.749079	83.0	0.0	150.0	11470.0	0.09558333333333334	0.0764215	0.3344252	2.1940126	-0.94423306	10.272797	3.8628445	18.77842	-2.5497246	8.138021e-09	-0.015058685	-1.6276042e-08	0.00689244	0.5395079	-0.14220902	56.764748	-6.099907	0	0	1.3568362	0.0	1.8033274	0.008943799	120000	1048.2722630500793
4	1.8356127	2.0416143	10.672017	-1.2741199	17.42	19.817507	84.0	0.0	150.0	14954.0	0.09969333333333333	0.36815378	0.39936978	2.8126366	-0.46699503	9.498019	3.5116813	18.229996	-2.5853283	-6.1035155e-09	-0.015099699	-8.138021e-09	-0.0012230631	0.7741699	-0.16928762	72.958694	-7.1915817	0	0	1.3915131	0.0	1.8181865	0.009297259	150000	1327.2740910053253
5	2.5152228	2.4397082	11.092208	-2.3374186	17.555	18.549313	98.0	0.0	150.0	18465.0	0.10258333333333333	0.7166656	0.53848577	3.6331763	-0.18960164	11.189552	3.5146458	22.437359	-0.20743118	2.8483074e-08	-0.016583769	-1.13932295e-07	0.001964974	1.1132098	-0.2691269	72.62221	-9.331173	0	0	1.281379	0.0	1.8175297	0.009555358	180000	1595.2378897666931
6	4.0609007	3.2934105	14.10482	-1.558823	16.0	15.137041	64.0	0.0	150.0	21665.0	0.10316666666666667	1.2495117	0.7400609	5.026833	-0.1792127	12.136502	3.1360052	22.317373	-0.61412007	1.0172526e-08	-0.016141927	-6.510417e-08	-0.0030439778	2.1727157	-0.53538	54.31625	-5.7915535	0	0	1.3115058	0.0	1.8172314	0.00998876	210000	1868.8485074043274
7	4.9964037	3.2600393	12.582928	-1.4131615	17.29	15.5147	83.0	0.0	150.0	25123.0	0.10467916666666667	1.9210466	0.92628235	5.4956365	-0.35590518	11.800201	2.887678	22.202599	-2.1462457	-1.0172526e-08	-0.014824781	1.2207031e-08	-0.003694519	2.368509	-0.52835226	51.78855	-6.501442	0	0	1.39846	0.0	1.8141773	0.009851581	240000	2129.758612394333
8	6.003932	3.7234411	17.272161	-2.1238186	17.01	14.714954	75.0	0.0	150.0	28525.0	0.10564814814814814	2.6102605	0.9069626	5.670183	-0.10468108	11.805323	2.6081789	22.968937	-0.71669966	-1.2715658e-08	-0.014203914	-4.0690105e-09	-0.0053045573	3.0742323	-0.6067078	48.911594	-5.986786	0	0	1.4362974	0.0	1.8020343	0.009523637	270000	2392.619128227234
9	7.1491795	3.8398757	16.848282	-0.81537426	15.75	13.308926	70.0	0.0	150.0	31675.0	0.10558333333333333	3.2610426	1.050643	6.377631	0.62878186	12.328913	2.6631074	22.687431	2.1792483	-3.2552084e-08	-0.009467471	-8.138021e-09	-0.0012886474	3.5086458	-0.8363843	39.668186	-4.3178368	0	0	1.7115432	1.0	1.7815788	0.006514302	300000	2659.3141164779663
