CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	-5.0149326	5.2	300.0	0.031482186	-0.017908238	0.052639287	-0.22588564	0.6339727	-0.040463716	1.7613198e-05	-0.04044998	-1.3730231e-05	-0.114718676	300.0	7.25	68.43162488937378
2	1	3000	-0.066311926	6.6	300.0	0.004080733	0.029536474	0.013052271	-0.10386349	0.6339727	-0.06522146	1.3402881e-05	-0.065212384	-9.065902e-06	0.094278194	300.0	3.5	136.93747735023499
2	2	4500	0.21345058	15.8	300.0	0.0024418328	0.07196006	0.020604057	0.056305546	0.6339727	-0.12863317	2.0230718e-05	-0.12862457	-8.598121e-06	0.13246286	300.0	4.55	206.38016200065613
2	3	6000	-0.0065927147	6.0	300.0	0.0010594921	0.117323644	0.01796597	0.22320433	0.6339727	-0.11872258	1.9059187e-05	-0.11871601	-6.5648537e-06	0.13280787	300.0	11.85	274.33261585235596
2	4	7500	-0.07589153	1.0	300.0	0.0008478178	0.12127094	0.016484557	0.28038234	0.6339727	-0.11957751	2.4609051e-05	-0.11956972	-7.798507e-06	0.05117584	300.0	8.55	339.91210174560547
2	5	9000	-0.18658875	12.8	300.0	0.0013485417	0.15545815	0.017890189	0.29951516	0.6339727	-0.22711441	2.27792e-05	-0.22710595	-8.468838e-06	2.9419343	254.95	69.9	400.32933235168457
2	6	10288	2.4172	54.0	257.6	0.0018267048	0.21790543	0.04014134	0.40906295	0.63397264	-0.22368939	3.2448137e-05	-0.22368488	-4.5126526e-06	-2.0265667	295.95	10.9	466.3150770664215
2	7	11647	1.1082746	9.8	271.8	0.0013001296	0.23037697	0.032819018	0.48158818	0.6339727	-0.23891456	5.1362975e-05	-0.2389127	-1.8716644e-06	2.5092669	287.3	16.4	530.9089803695679
2	8	13067	3.6309524	24.4	284.0	0.0011514069	0.25240034	0.03385995	0.55210495	0.6339727	-0.2633729	0.00031941556	-0.2633875	1.4568945e-05	4.5376825	235.4	17.25	589.2828543186188
2	9	14095	4.4623704	8.8	205.6	0.0011416235	0.28425977	0.03496733	0.6023209	0.6339727	-0.29615352	0.0011996493	-0.29621843	6.4927146e-05	5.033224	106.0	14.2	626.6950376033783
2	10	14609	5.1289897	14.4	102.8	0.0011459794	0.30423373	0.03985446	0.65224034	0.63397264	-0.31877226	0.0051770564	-0.31921533	0.0004430532	5.047075	126.8	18.15	658.3731074333191
