Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
11	0.2630945	1.8499881	8.183834	-2.4002686	8.515	9.113713	44.0	0.0	150.0	24181.0	0.06716944444444445	0.13517553	0.66190386	3.7586138	-1.1825083	5.2340565	3.8049161	18.502295	-3.507167	-9.918213e-09	0.0025823666	-4.0690105e-09	-0.01658464	0.3252695	-0.03787422	9.203694	-0.8787937	1.197998	0.0	0.007859466	-0.16011837	0.050100002	0.0080624595	-0.0016818988	0.013935337	0.0	1.197998	0.0	0.0	0.0	1.8475001	0.008844486	360000	1707.283040523529
12	0.08969961	1.8945149	10.896392	-2.6637743	7.5	8.1228075	43.0	0.0	150.0	25681.0	0.06584871794871795	0.0693459	0.59738594	3.0242705	-1.1302702	4.3844156	3.2959611	15.780765	-4.093264	-1.1189779e-08	0.003379359	2.746582e-08	-0.014631064	0.2850608	-0.033404768	8.796905	-0.96766996	1.1359491	0.0	0.008220352	-0.10115246	0.043333333	0.009391592	-0.00426068	0.015499296	0.0	1.1359491	0.0	0.0	1.0	1.8768923	0.0062069814	390000	1854.8579597473145
13	0.0008007431	2.127756	15.187411	-2.2792568	6.5	7.541883	36.0	0.0	150.0	26981.0	0.0642404761904762	0.008936779	0.5759345	3.2484274	-1.5149465	3.4727542	3.005314	16.22591	-3.068457	-4.0690105e-09	0.0030317625	1.4241537e-08	-0.015712839	0.3991903	-0.047205597	6.243649	-0.6690788	1.2521843	0.0	0.005902041	-0.085402206	0.036666665	0.0065029575	-0.0027685575	0.012755373	0.0	1.2521843	0.0	0.0	0.0	1.8924999	0.009194973	420000	1977.4594724178314
14	-0.02544511	1.825121	8.767516	-2.7998595	6.635	7.5724354	35.0	0.0	150.0	28308.0	0.06290666666666667	0.018719122	0.6679591	3.9032207	-1.235784	2.923529	2.8518963	14.708732	-3.545824	1.0172526e-09	0.0042363405	-1.0172526e-09	-0.014697952	0.37822378	-0.04601258	6.5833335	-0.6606121	1.1482372	0.0	0.007851446	-0.0730334	0.03756667	0.009090649	-0.0043356516	0.015169333	0.0	1.1482372	0.0	0.0	1.0	1.8757296	0.006454016	450000	2108.339630126953
15	-0.24796204	2.0491989	19.015469	-2.9224575	6.575	8.450703	57.0	0.0	150.0	29623.0	0.06171458333333334	-0.06580938	0.5981067	3.1394005	-1.4086264	2.3069382	2.9942377	16.329046	-2.7595298	-2.0345052e-09	0.003422404	-2.0345052e-08	-0.016466154	0.4976784	-0.04129669	6.442997	-1.0948949	1.2602578	0.0	0.00785142	-0.0896974	0.037166666	0.008278553	-0.002319194	0.012592468	0.0	1.2602578	0.0	0.0	0.0	1.8929439	0.0095015075	480000	2244.1182622909546
16	-0.18542583	2.5739715	13.57373	-3.6447663	6.18	8.238787	58.0	0.0	150.0	30859.0	0.0605078431372549	-0.087708056	0.6102066	3.1174083	-1.5681361	2.0715017	3.0822694	19.02346	-4.325381	-5.086263e-09	0.0050284117	1.6276042e-08	-0.017704709	0.67641145	-0.1262055	8.229493	-2.2793016	0.96353143	0.0	0.005471002	-0.03535782	0.034533333	0.007390442	-0.0064303745	0.021542594	0.0	0.96353143	0.0	0.0	1.0	1.9108137	0.0065929065	510000	2385.1184952259064
17	-0.40791816	2.533787	9.929082	-3.5861032	5.375	6.9061112	40.0	0.0	150.0	31934.0	0.05913703703703704	-0.07274357	0.7807974	4.2873263	-1.8806819	1.4902314	2.6396115	19.65998	-3.27064	2.5431315e-09	0.0048124786	-1.4241537e-08	-0.020029575	0.56593144	-0.07136813	4.113141	-0.8630729	1.0478867	0.0	0.008003183	-0.026705984	0.029166667	0.008602156	-0.003302967	0.018213822	0.0	1.0478867	0.0	0.0	0.0	1.9162908	0.009345845	540000	2522.58944439888
18	-0.9464023	1.7751949	7.6224794	-4.149661	3.87	5.5913415	41.0	0.0	150.0	32708.0	0.057382456140350875	-0.22291929	0.6340858	3.3554103	-2.324584	0.862685	2.1576	18.813726	-3.4659476	4.0690105e-09	0.006541288	2.0345052e-09	-0.015463342	0.35312662	-0.06798521	2.8312004	-0.56014013	1.3454658	0.0	0.006477642	-0.013135763	0.019133333	0.008926544	-0.0052014915	0.011048015	0.0	1.3454658	0.0	0.0	0.0	1.939939	0.00909448	570000	2653.3710236549377
19	-1.1594912	2.0043545	9.290644	-4.5860834	3.955	5.4463725	33.0	0.0	150.0	33499.0	0.05583166666666667	-0.2503533	0.6324431	2.569955	-2.1572635	0.7389951	1.9006988	16.22393	-2.8059933	1.2207031e-08	0.008036202	0.0	-0.01562627	0.36802557	-0.06052795	2.288976	-0.4104494	1.2506851	0.0	0.007505803	-0.010352799	0.0197	0.010404224	-0.0060876203	0.01278597	0.0	1.2506851	0.0	0.0	0.0	1.9369187	0.009365891	600000	2787.6456565856934
20	-1.3519434	1.6843611	4.896819	-4.1345954	2.695	4.8344574	29.0	0.0	150.0	34038.0	0.054028571428571426	-0.25290534	0.6128996	2.2655206	-2.594325	0.40439394	1.5618824	15.9639225	-5.192051	-9.155274e-09	0.00020299987	5.086263e-09	-0.012615087	0.2563637	-0.049284354	1.8927683	-0.38847816	2.3735566	0.0	0.007699531	0.0046065645	0.011299999	0.010810387	-0.005079847	0.008295094	1.2928364	2.3735566	1.0	0.0	0.0	1.9410622	0.009736442	630000	2920.16233420372
