Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	16.173126	3.9086218	26.488775	6.631109	17.96	6.7932615	42.0	2.0	150.0	35769.0	0.07948666666666666	10.773405	0.91286176	12.53633	6.531106	11.577202	1.5312911	19.332718	2.168654	-8.138021e-09	-0.011210342	2.0345052e-08	-0.0005972718	3.2603188	-0.3663473	11.8165045	-0.73418903	0	0	1.7065039	0.0	1.3273251	0.009599341	450000	3539.904981613159
15	17.904112	3.9775436	32.337196	8.482291	17.56	7.076468	42.0	3.0	150.0	39281.0	0.08183541666666666	11.350251	0.8907743	12.571886	6.2690516	11.978877	1.5723586	19.999517	6.2329135	4.0690104e-08	-0.008469165	-6.1035155e-09	0.0013803568	3.7565224	-0.6898258	11.69784	-0.61681557	0	0	1.9455615	1.0	1.277811	0.006503183	480000	3787.7507088184357
16	17.868105	3.9012153	28.322624	6.364596	18.3	7.438414	42.0	3.0	150.0	42941.0	0.08419803921568628	12.118597	0.9302259	13.611075	7.6292458	12.178771	1.5747597	20.258324	6.3968863	-6.612142e-09	-0.008757869	-3.6621095e-08	-0.0005140198	3.0840662	-0.21090603	12.216255	-0.7979202	0	0	2.0777922	0.0	1.2371547	0.00938191	510000	4025.349217414856
17	19.118868	4.306986	31.683369	8.361743	18.105	7.3405704	43.0	2.0	150.0	46562.0	0.08622592592592593	12.542868	0.92037237	13.954011	7.623724	12.549249	1.7481519	20.25708	6.4195504	-1.0172526e-09	-0.009258917	0.0	-0.001211499	3.930044	-0.5919523	11.700597	-0.8186884	0	0	2.0866718	0.0	1.1880649	0.009489996	540000	4269.59512758255
18	19.695024	3.7539575	31.062319	6.8848414	18.115	7.052785	36.0	3.0	150.0	50185.0	0.08804385964912281	13.198017	1.0479536	14.843995	8.139095	12.357357	1.8060584	20.561356	6.8604007	1.525879e-08	-0.0105881635	-2.4414062e-08	0.0022246195	3.5787177	-0.3990307	10.185263	-0.8832798	0	0	1.8378664	0.0	1.138942	0.009759186	570000	4515.525683403015
19	20.4797	4.1946363	33.75624	9.219189	18.235	7.0398703	46.0	3.0	150.0	53832.0	0.08972	13.743083	0.97830176	15.1662	8.880913	12.36304	1.7602243	20.339909	7.24446	1.6276042e-08	-0.009454366	-2.0345052e-08	0.0011366333	3.619233	-0.36803603	10.353868	-1.0334015	0	0	2.0855143	0.0	1.0977929	0.009354616	600000	4731.787141084671
20	20.934282	4.0917554	31.102741	9.422068	19.455	7.4302073	39.0	3.0	150.0	57723.0	0.09162380952380952	14.282872	0.9955641	15.708798	9.165311	12.370475	2.0081298	20.823782	7.062359	1.0172526e-08	-0.007420339	3.4586588e-08	-0.001443752	3.4611344	-0.3009944	10.455902	-0.76164913	0	0	2.2396207	1.0	1.0575767	0.0067074	630000	4976.618442296982
21	21.140121	4.5381837	33.320324	7.3619146	18.685	7.509046	43.0	4.0	150.0	61460.0	0.09312121212121212	14.749905	0.9424156	15.904616	9.68808	12.677421	2.0165887	21.0147	7.574347	8.138021e-09	-0.008877743	2.4414062e-08	-0.00029183758	3.825974	-0.18988585	10.233931	-0.8153086	0	0	2.1909661	0.0	1.0204782	0.009864552	660000	5219.902380943298
22	21.933012	4.403177	33.41389	4.3921933	18.745	6.751294	35.0	5.0	150.0	65209.0	0.09450579710144928	15.003405	1.0876845	16.563768	9.729872	12.382346	1.9982592	21.656895	6.8200154	6.1035155e-09	-0.007444291	1.8310548e-08	0.0023269898	4.1327376	-0.17189312	10.101738	-0.8060856	0	0	2.1461358	1.0	0.98484486	0.006545482	690000	5458.42661190033
23	21.912958	4.2132626	33.634586	12.878058	18.245	7.606903	42.0	3.0	150.0	68858.0	0.09563611111111112	15.272804	1.0967807	16.669985	9.808031	12.459623	1.990071	21.618738	7.939449	1.7293294e-08	-0.009314212	4.8828124e-08	0.0014757081	3.7423997	-0.10858774	10.590098	-1.0193653	0	0	2.029334	0.0	0.9587007	0.009611534	720000	5698.111916065216
