Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.050818633	1.2581315	3.9581764	-2.5361316	27.53	25.987478	98.0	0.0	300.0	2753.0	0.09176666666666666	0.71523273	0.12206109	1.2274988	0.28714502	-0.52457535	0.079769894	-0.18569353	-0.8056976	6.1035155e-09	0.048143208	0.0	0.008645573	0.41812265	-0.27740595	119.615295	-64.05168	0	0	1.0	1.837877	0.06569941	30000	160.66125655174255
1	0.25045452	1.5998117	4.843746	-3.540984	30.14	26.502462	102.0	0.0	300.0	5767.0	0.09611666666666667	0.2552201	0.20149963	0.9953237	-0.38477355	5.811077	4.4101663	14.612768	-3.119225	-3.5603842e-09	0.07936699	-1.2207032e-07	-0.008322599	0.24014826	-0.035169482	59.52171	-13.748417	0	0	1.0	1.8389971	0.10451285	60000	324.7946481704712
2	0.26614705	1.186307	4.036114	-1.7081414	23.01	27.168545	103.0	0.0	300.0	8068.0	0.08964444444444444	0.20392653	0.3530238	1.2964321	-0.63829476	8.507368	5.8879366	20.418076	-3.3544564	-1.0172526e-09	-0.00096054794	-8.138021e-09	0.0034310261	0.14032307	-0.030639492	47.40173	-3.7697906	0	0	1.0	1.8394176	0.005307561	90000	485.48106694221497
3	0.37797883	1.0843567	3.59225	-1.7788877	34.04	33.989094	134.0	0.0	300.0	11472.0	0.0956	0.17185576	0.22681014	0.93851644	-0.27694976	10.079929	5.287099	21.434841	-3.096675	-1.1189779e-08	-0.008253884	1.6276042e-08	0.006484483	0.09559305	-0.0042143986	81.83988	-6.5011215	0	0	79.0	1.8397163	0.0057830596	120000	669.4608626365662
4	1.1272633	1.4817892	5.901073	-1.3486362	34.96	30.554842	132.0	0.0	300.0	14968.0	0.09978666666666666	0.1609261	0.248432	1.0056444	-0.2739755	11.702898	5.026666	27.482254	-3.4594476	2.0345052e-09	0.00042651774	-3.2552084e-08	0.0029505678	0.17945455	-0.04354915	69.31279	-5.1384354	0	0	11.0	1.832589	0.0092516625	150000	840.7074098587036
5	1.4652591	1.68589	7.102047	-1.2875682	28.86	26.267097	117.0	0.0	300.0	17854.0	0.09918888888888888	0.36142525	0.35687	1.542916	-0.2297347	11.251456	5.459543	30.99922	-2.9779778	-8.138021e-09	-0.0021324179	4.2724608e-08	0.0019638306	0.16097546	-0.021250159	54.49737	-3.064869	0	0	1.0	1.8300066	0.0019345378	180000	1011.4305446147919
6	1.6176057	1.8724955	7.247166	-1.8430058	31.01	26.695501	96.0	0.0	300.0	20955.0	0.09978571428571428	0.46167925	0.3717879	1.8190094	-0.25803706	10.857945	5.353902	30.791296	-3.3290155	-1.2207031e-08	-0.0012070144	3.2552084e-08	0.0010065429	0.17763773	-0.020343393	56.989418	-3.6536217	0	0	1.0	1.8296639	0.0005241514	210000	1170.3836743831635
7	1.60531	1.7086246	6.7041345	-1.3280419	29.04	24.33225	110.0	0.0	300.0	23859.0	0.0994125	0.5764526	0.44085538	2.0053933	-0.24445228	10.784047	4.547099	31.812668	-1.183919	1.1189779e-08	-0.0015746572	-1.6276042e-08	-0.00047902833	0.14040016	-0.0067684352	57.812267	-6.0524597	0	0	1.0	1.8296046	0.001030247	240000	1355.802276134491
8	1.7132267	2.0367203	9.868889	-2.445444	27.23	25.071041	113.0	0.0	300.0	26582.0	0.09845185185185185	0.6211199	0.46432215	2.139031	-0.24294928	10.427075	5.0341606	29.601751	-3.9367137	-3.0517577e-09	-0.0015994486	-2.4414062e-08	0.0010836101	0.17467415	-0.013566762	50.29784	-6.8550987	0	0	1.0	1.8298522	0.0005919643	270000	1527.597481250763
9	2.0504103	1.6885146	6.451071	-1.2771599	35.15	25.74699	100.0	0.0	300.0	30097.0	0.10032333333333333	0.69567573	0.49297827	2.2159066	-0.3175149	11.051358	4.9765687	29.619549	-1.2937152	1.7293294e-08	-0.0042358646	3.86556e-08	0.0014727478	0.16188401	-0.00889869	55.6245	-9.107235	0	0	6.0	1.8301945	0.0023471033	300000	1691.2688038349152
10	2.2980738	1.6065388	7.7534757	-1.2699331	34.43	26.32651	99.0	0.0	300.0	33540.0	0.10163636363636364	0.7346746	0.51963997	2.2757075	-0.28916752	11.9395	5.248997	32.61222	0.027810141	2.4414062e-08	-0.001385791	-6.510417e-08	0.00016931967	0.18644617	-0.024462879	61.476753	-9.522198	0	0	1.0	1.8290572	0.000305564	330000	1861.524225473404
11	2.668726	1.6937087	7.449314	-0.84102935	33.47	24.378456	90.0	0.0	300.0	36887.0	0.10246388888888888	0.8318039	0.42851794	2.0592117	-0.12153348	12.434135	6.30879	37.50666	-1.3071443	-1.4241537e-08	-0.0015962505	4.0690105e-09	-0.0014387085	0.18565977	-0.0141825825	49.274075	-7.488682	0	0	1.0	1.8284721	0.0012220154	360000	2029.7507119178772
12	2.5086164	1.7997711	6.25021	-1.2750105	33.14	22.285429	87.0	0.0	300.0	40201.0	0.10307948717948719	0.8447561	0.45131606	2.0834596	-0.10095321	11.901737	5.4683127	36.445316	0.7643495	1.0172526e-08	-0.008056847	-8.138021e-09	0.00056204427	0.19736886	-0.01990956	43.62558	-6.481327	0	0	79.0	1.8280964	0.00583396	390000	2206.9753646850586
13	2.939756	1.8257242	8.044415	-0.34288365	30.15	19.905968	71.0	0.0	300.0	43216.0	0.1028952380952381	0.90631765	0.49102414	2.2350621	-0.04403548	11.820413	5.666395	34.906727	-2.28531	5.086263e-09	0.0006385809	4.8828124e-08	0.007132495	0.22087318	-0.040450335	44.457767	-7.572815	0	0	4.0	1.8085302	0.010555971	420000	2364.1252830028534
14	3.4310772	1.9203527	10.356648	-1.1077496	39.03	20.821362	89.0	0.0	300.0	47119.0	0.10470888888888889	1.1261204	0.49383125	2.4303794	-0.101052925	11.155097	4.541562	29.661015	0.19724444	-1.0172526e-08	-0.00078683876	-1.6276042e-08	0.0005837484	0.3094848	-0.055414617	41.88615	-8.176022	0	0	1.0	1.8083534	0.00065136096	450000	2540.438479423523
15	3.8161373	1.9398663	9.785505	-1.1257981	39.15	23.628956	133.0	0.0	300.0	51034.0	0.10632083333333334	1.2254868	0.46704826	2.5631483	0.0646953	12.859407	5.491385	34.82462	0.44793972	1.0172526e-08	-0.0011041524	1.6276042e-08	0.0019957845	0.29507923	-0.031733304	46.275208	-6.9730415	0	0	1.0	1.8083081	0.0013614448	480000	2704.4553718566895
16	3.8512409	2.0143044	9.2697	-0.09264098	35.04	19.969938	83.0	0.0	300.0	54538.0	0.10693725490196078	1.3346683	0.48194435	2.7021167	-0.021608103	13.6490345	5.289202	39.800186	3.100125	-2.0345052e-08	-0.0008037394	-2.0345052e-09	-0.00040635784	0.3174274	-0.03453988	43.504425	-8.974632	0	0	1.0	1.8081431	0.000829036	510000	2869.0773108005524
17	4.0429654	2.453742	12.163374	-0.6644554	35.41	22.18337	91.0	2.0	300.0	58079.0	0.1075537037037037	1.338944	0.46682012	2.659007	0.0994188	12.842046	4.256087	34.004036	3.724533	1.4241537e-08	-0.0015246174	3.2552084e-08	-0.00022263998	0.36035192	-0.04839921	38.318466	-5.3341713	0	0	1.0	1.8079891	0.0020847206	540000	3032.7020223140717
18	4.339462	2.1009731	11.147358	-0.93050796	35.13	20.203789	100.0	0.0	300.0	61592.0	0.1080561403508772	1.4442338	0.518503	3.079065	-0.16692008	11.802352	4.6337566	36.224396	2.280304	-2.0345052e-09	-0.0011472667	2.9500326e-08	0.0016254537	0.36567804	-0.038654983	35.966354	-4.7314606	0	0	1.0	1.8077681	0.0010429387	570000	3189.995616912842
